POCP	GCF_900095735.1.faa	GCF_016466415.2.faa	GCF_014652675.1.faa	GCF_004363775.1.faa	GCF_004342585.1.faa	GCF_003966915.1.faa	GCF_003628125.1.faa	GCF_002934455.1.faa	GCF_001465595.2.faa	GCF_001411495.1.faa	GCF_000970345.1.faa	GCF_000698595.1.faa	GCF_000219215.1.faa	GCF_000198775.1.faa	GCF_000172415.1.faa	GCA_004291335.1.faa
GCF_900095735.1.faa	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_016466415.2.faa	45.93068320230318	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014652675.1.faa	30.215721040189123	34.41936930204753	100	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_004363775.1.faa	29.73368451858355	34.03877460411425	67.8237650200267	100	~	~	~	~	~	~	~	~	~	~	~	~
GCF_004342585.1.faa	39.127837514934285	45.08621729169179	35.107794361525706	34.76049868766404	100	~	~	~	~	~	~	~	~	~	~	~
GCF_003966915.1.faa	35.289029839988466	33.921282798833815	35.61018055253426	36.13553506326399	32.73108565897726	100	~	~	~	~	~	~	~	~	~	~
GCF_003628125.1.faa	47.56900108044396	46.931908155186065	27.866343578625173	27.659036296952067	37.21275018532246	30.62421972534332	100	~	~	~	~	~	~	~	~	~
GCF_002934455.1.faa	46.16899559223483	49.574910258832425	27.069566262165086	27.428775777804265	37.46095717884131	30.617051342439943	52.2239263803681	100	~	~	~	~	~	~	~	~
GCF_001465595.2.faa	49.89559406974316	55.05736238290706	30.712904117159432	30.640744797371305	41.029411764705884	33.36033481841501	47.92038306262323	48.41462319231115	100	~	~	~	~	~	~	~
GCF_001411495.1.faa	45.77824641090113	51.2324518445968	24.877365101611773	25.191447041272998	34.164437925977055	27.41681433353022	50.92523503954634	56.84961106309421	51.31650910227361	100	~	~	~	~	~	~
GCF_000970345.1.faa	46.223830952846804	41.922129127649086	26.135498604415126	26.308505284348264	32.83424715309996	30.965097503415723	44.66578131916778	45.69075316294472	43.340815563037786	45.40653128022019	100	~	~	~	~	~
GCF_000698595.1.faa	46.487389609356356	47.14217098943323	23.971062664972138	24.497328800388537	34.7307919871524	27.226389690325064	51.89121829643747	57.292551685075054	47.541989416366285	56.63711209626345	44.47855002557918	100	~	~	~	~
GCF_000219215.1.faa	42.34314359637775	54.657879749410135	25.488631830873555	25.183277194372895	37.10232158211522	25.605570265764438	42.0876422885202	46.64224664224664	50.14020875525783	48.566296747706716	36.70820353063344	49.08711857982185	100	~	~	~
GCF_000198775.1.faa	46.36340598073999	43.26295585412668	34.924351585014406	35.190459238163044	39.75398378529494	45.72627163083377	42.53206915783603	44.29977770720864	43.85314518057881	41.159002969495184	40.26204752387297	40.72051440147978	35.8590387374462	100	~	~
GCF_000172415.1.faa	49.65462274176408	51.324119482835485	25.915996425379806	26.236416056775337	36.7348872465416	29.89803749588861	54.630004043671654	63.40001556783685	50.58663492603299	61.110728312547366	47.70272448815089	66.83386429878668	48.32325453545904	43.955934894799526	100	~
GCA_004291335.1.faa	30.85449155819049	37.38609737047644	33.345635726148736	33.381950774840476	38.81213502350093	30.637079455977094	29.7554347826087	30.040798797509126	34.013853445133066	27.240437158469945	26.924377324467486	27.094474153297682	30.628913694527633	33.27219929695858	28.894699788796135	100
