ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
870995905	870995905	GCF_000474235.1	GCF_000474235.1	100.000000	2884	2884	2884	1.000000	0.400000	0.500000
870995905	639051172	GCF_000474235.1	GCF_001011115.1	65.161042	2884	2274	1200	0.465297	0.400000	0.500000
870995905	530123774	GCF_000474235.1	GCF_001886955.1	63.146310	2884	2158	1057	0.419278	0.400000	0.500000
870995905	702406194	GCF_000474235.1	GCF_008124605.1	66.004353	2884	2469	1229	0.459182	0.400000	0.500000
870995905	275663046	GCF_000474235.1	GCF_014647475.1	68.702069	2884	3526	1619	0.505148	0.400000	0.500000
870995905	286588430	GCF_000474235.1	GCF_020614395.1	68.437837	2884	2553	1447	0.532279	0.400000	0.500000
639051172	870995905	GCF_001011115.1	GCF_000474235.1	65.161042	2274	2884	1200	0.465297	0.400000	0.500000
639051172	639051172	GCF_001011115.1	GCF_001011115.1	100.000000	2274	2274	2270	0.998241	0.400000	0.500000
639051172	530123774	GCF_001011115.1	GCF_001886955.1	66.218331	2274	2158	1372	0.619134	0.400000	0.500000
639051172	702406194	GCF_001011115.1	GCF_008124605.1	64.704321	2274	2469	1215	0.512334	0.400000	0.500000
639051172	275663046	GCF_001011115.1	GCF_014647475.1	64.733869	2274	3526	1370	0.472414	0.400000	0.500000
639051172	286588430	GCF_001011115.1	GCF_020614395.1	65.734621	2274	2553	1281	0.530764	0.400000	0.500000
530123774	870995905	GCF_001886955.1	GCF_000474235.1	63.146310	2158	2884	1057	0.419278	0.400000	0.500000
530123774	639051172	GCF_001886955.1	GCF_001011115.1	66.218331	2158	2274	1372	0.619134	0.400000	0.500000
530123774	530123774	GCF_001886955.1	GCF_001886955.1	100.000000	2158	2158	2157	0.999537	0.400000	0.500000
530123774	702406194	GCF_001886955.1	GCF_008124605.1	62.583708	2158	2469	1157	0.500108	0.400000	0.500000
530123774	275663046	GCF_001886955.1	GCF_014647475.1	62.267103	2158	3526	1222	0.429979	0.400000	0.500000
530123774	286588430	GCF_001886955.1	GCF_020614395.1	63.382506	2158	2553	1169	0.496285	0.400000	0.500000
702406194	870995905	GCF_008124605.1	GCF_000474235.1	66.004353	2469	2884	1229	0.459182	0.400000	0.500000
702406194	639051172	GCF_008124605.1	GCF_001011115.1	64.704321	2469	2274	1215	0.512334	0.400000	0.500000
702406194	530123774	GCF_008124605.1	GCF_001886955.1	62.583708	2469	2158	1157	0.500108	0.400000	0.500000
702406194	702406194	GCF_008124605.1	GCF_008124605.1	100.000000	2469	2469	2462	0.997165	0.400000	0.500000
702406194	275663046	GCF_008124605.1	GCF_014647475.1	66.121174	2469	3526	1457	0.486072	0.400000	0.500000
702406194	286588430	GCF_008124605.1	GCF_020614395.1	67.031525	2469	2553	1410	0.561529	0.400000	0.500000
275663046	870995905	GCF_014647475.1	GCF_000474235.1	68.702069	3526	2884	1619	0.505148	0.400000	0.500000
275663046	639051172	GCF_014647475.1	GCF_001011115.1	64.733869	3526	2274	1370	0.472414	0.400000	0.500000
275663046	530123774	GCF_014647475.1	GCF_001886955.1	62.267103	3526	2158	1222	0.429979	0.400000	0.500000
275663046	702406194	GCF_014647475.1	GCF_008124605.1	66.121174	3526	2469	1457	0.486072	0.400000	0.500000
275663046	275663046	GCF_014647475.1	GCF_014647475.1	100.000000	3526	3526	3526	1.000000	0.400000	0.500000
275663046	286588430	GCF_014647475.1	GCF_020614395.1	69.446290	3526	2553	1806	0.594177	0.400000	0.500000
286588430	870995905	GCF_020614395.1	GCF_000474235.1	68.437837	2553	2884	1447	0.532279	0.400000	0.500000
286588430	639051172	GCF_020614395.1	GCF_001011115.1	65.734621	2553	2274	1281	0.530764	0.400000	0.500000
286588430	530123774	GCF_020614395.1	GCF_001886955.1	63.382506	2553	2158	1169	0.496285	0.400000	0.500000
286588430	702406194	GCF_020614395.1	GCF_008124605.1	67.031525	2553	2469	1410	0.561529	0.400000	0.500000
286588430	275663046	GCF_020614395.1	GCF_014647475.1	69.446290	2553	3526	1806	0.594177	0.400000	0.500000
286588430	286588430	GCF_020614395.1	GCF_020614395.1	100.000000	2553	2553	2553	1.000000	0.400000	0.500000
