ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
564505663	564505663	GCF_000368965.1	GCF_000368965.1	100.000000	3725	3725	3712	0.996510	0.400000	0.500000
564505663	254052985	GCF_000368965.1	GCF_000619845.1	66.380829	3725	3072	1724	0.507283	0.400000	0.500000
564505663	105341247	GCF_000368965.1	GCF_002027545.1	59.593535	3725	2770	959	0.295304	0.400000	0.500000
564505663	573352613	GCF_000368965.1	GCF_003051055.1	60.181716	3725	3350	1154	0.326219	0.400000	0.500000
564505663	560028478	GCF_000368965.1	GCF_003148585.1	59.239430	3725	2695	1140	0.355140	0.400000	0.500000
564505663	439509354	GCF_000368965.1	GCF_003351745.1	62.993415	3725	3411	1549	0.434137	0.400000	0.500000
564505663	49314881	GCF_000368965.1	GCF_004217445.1	60.226965	3725	3310	1107	0.314712	0.400000	0.500000
254052985	564505663	GCF_000619845.1	GCF_000368965.1	66.380829	3072	3725	1724	0.507283	0.400000	0.500000
254052985	254052985	GCF_000619845.1	GCF_000619845.1	100.000000	3072	3072	3067	0.998372	0.400000	0.500000
254052985	105341247	GCF_000619845.1	GCF_002027545.1	59.291953	3072	2770	932	0.319069	0.400000	0.500000
254052985	573352613	GCF_000619845.1	GCF_003051055.1	60.752656	3072	3350	1280	0.398630	0.400000	0.500000
254052985	560028478	GCF_000619845.1	GCF_003148585.1	59.642643	3072	2695	1101	0.381828	0.400000	0.500000
254052985	439509354	GCF_000619845.1	GCF_003351745.1	66.022773	3072	3411	1583	0.488354	0.400000	0.500000
254052985	49314881	GCF_000619845.1	GCF_004217445.1	60.904731	3072	3310	1226	0.384206	0.400000	0.500000
105341247	564505663	GCF_002027545.1	GCF_000368965.1	59.593535	2770	3725	959	0.295304	0.400000	0.500000
105341247	254052985	GCF_002027545.1	GCF_000619845.1	59.291953	2770	3072	932	0.319069	0.400000	0.500000
105341247	105341247	GCF_002027545.1	GCF_002027545.1	100.000000	2770	2770	2770	1.000000	0.400000	0.500000
105341247	573352613	GCF_002027545.1	GCF_003051055.1	57.926047	2770	3350	812	0.265359	0.400000	0.500000
105341247	560028478	GCF_002027545.1	GCF_003148585.1	64.119151	2770	2695	1261	0.461482	0.400000	0.500000
105341247	439509354	GCF_002027545.1	GCF_003351745.1	58.875507	2770	3411	888	0.287332	0.400000	0.500000
105341247	49314881	GCF_002027545.1	GCF_004217445.1	58.002033	2770	3310	787	0.258882	0.400000	0.500000
573352613	564505663	GCF_003051055.1	GCF_000368965.1	60.181716	3350	3725	1154	0.326219	0.400000	0.500000
573352613	254052985	GCF_003051055.1	GCF_000619845.1	60.752656	3350	3072	1280	0.398630	0.400000	0.500000
573352613	105341247	GCF_003051055.1	GCF_002027545.1	57.926047	3350	2770	812	0.265359	0.400000	0.500000
573352613	573352613	GCF_003051055.1	GCF_003051055.1	100.000000	3350	3350	3347	0.999104	0.400000	0.500000
573352613	560028478	GCF_003051055.1	GCF_003148585.1	57.496984	3350	2695	978	0.323573	0.400000	0.500000
573352613	439509354	GCF_003051055.1	GCF_003351745.1	60.777875	3350	3411	1313	0.388404	0.400000	0.500000
573352613	49314881	GCF_003051055.1	GCF_004217445.1	69.023595	3350	3310	2028	0.609009	0.400000	0.500000
560028478	564505663	GCF_003148585.1	GCF_000368965.1	59.239430	2695	3725	1140	0.355140	0.400000	0.500000
560028478	254052985	GCF_003148585.1	GCF_000619845.1	59.642643	2695	3072	1101	0.381828	0.400000	0.500000
560028478	105341247	GCF_003148585.1	GCF_002027545.1	64.119151	2695	2770	1261	0.461482	0.400000	0.500000
560028478	573352613	GCF_003148585.1	GCF_003051055.1	57.496984	2695	3350	978	0.323573	0.400000	0.500000
560028478	560028478	GCF_003148585.1	GCF_003148585.1	100.000000	2695	2695	2682	0.995176	0.400000	0.500000
560028478	439509354	GCF_003148585.1	GCF_003351745.1	59.272868	2695	3411	1067	0.349492	0.400000	0.500000
560028478	49314881	GCF_003148585.1	GCF_004217445.1	57.684098	2695	3310	937	0.312073	0.400000	0.500000
439509354	564505663	GCF_003351745.1	GCF_000368965.1	62.993415	3411	3725	1549	0.434137	0.400000	0.500000
439509354	254052985	GCF_003351745.1	GCF_000619845.1	66.022773	3411	3072	1583	0.488354	0.400000	0.500000
439509354	105341247	GCF_003351745.1	GCF_002027545.1	58.875507	3411	2770	888	0.287332	0.400000	0.500000
439509354	573352613	GCF_003351745.1	GCF_003051055.1	60.777875	3411	3350	1313	0.388404	0.400000	0.500000
439509354	560028478	GCF_003351745.1	GCF_003148585.1	59.272868	3411	2695	1067	0.349492	0.400000	0.500000
439509354	439509354	GCF_003351745.1	GCF_003351745.1	100.000000	3411	3411	3358	0.984462	0.400000	0.500000
439509354	49314881	GCF_003351745.1	GCF_004217445.1	60.933650	3411	3310	1315	0.391311	0.400000	0.500000
49314881	564505663	GCF_004217445.1	GCF_000368965.1	60.226965	3310	3725	1107	0.314712	0.400000	0.500000
49314881	254052985	GCF_004217445.1	GCF_000619845.1	60.904731	3310	3072	1226	0.384206	0.400000	0.500000
49314881	105341247	GCF_004217445.1	GCF_002027545.1	58.002033	3310	2770	787	0.258882	0.400000	0.500000
49314881	573352613	GCF_004217445.1	GCF_003051055.1	69.023595	3310	3350	2028	0.609009	0.400000	0.500000
49314881	560028478	GCF_004217445.1	GCF_003148585.1	57.684098	3310	2695	937	0.312073	0.400000	0.500000
49314881	439509354	GCF_004217445.1	GCF_003351745.1	60.933650	3310	3411	1315	0.391311	0.400000	0.500000
49314881	49314881	GCF_004217445.1	GCF_004217445.1	100.000000	3310	3310	3305	0.998489	0.400000	0.500000
