ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
427530303	427530303	GCA_004346645.1	GCA_004346645.1	100.000000	2743	2743	2742	0.999635	0.400000	0.500000
427530303	662546371	GCA_004346645.1	GCF_000007705.1	71.601238	2743	4325	1939	0.548670	0.400000	0.500000
427530303	677621350	GCA_004346645.1	GCF_000422925.1	70.264599	2743	4042	1709	0.503758	0.400000	0.500000
427530303	349975553	GCA_004346645.1	GCF_003202035.1	72.399824	2743	4161	1994	0.577636	0.400000	0.500000
427530303	730038303	GCA_004346645.1	GCF_003633895.1	71.355842	2743	3355	1960	0.642834	0.400000	0.500000
427530303	1030845766	GCA_004346645.1	GCF_900177275.1	73.350359	2743	4028	1949	0.575690	0.400000	0.500000
662546371	427530303	GCF_000007705.1	GCA_004346645.1	71.601238	4325	2743	1939	0.548670	0.400000	0.500000
662546371	662546371	GCF_000007705.1	GCF_000007705.1	100.000000	4325	4325	4306	0.995607	0.400000	0.500000
662546371	677621350	GCF_000007705.1	GCF_000422925.1	68.560926	4325	4042	2128	0.508665	0.400000	0.500000
662546371	349975553	GCF_000007705.1	GCF_003202035.1	74.197819	4325	4161	2407	0.567287	0.400000	0.500000
662546371	730038303	GCF_000007705.1	GCF_003633895.1	70.167998	4325	3355	2103	0.547656	0.400000	0.500000
662546371	1030845766	GCF_000007705.1	GCF_900177275.1	72.100276	4325	4028	2174	0.520532	0.400000	0.500000
677621350	427530303	GCF_000422925.1	GCA_004346645.1	70.264599	4042	2743	1709	0.503758	0.400000	0.500000
677621350	662546371	GCF_000422925.1	GCF_000007705.1	68.560926	4042	4325	2128	0.508665	0.400000	0.500000
677621350	677621350	GCF_000422925.1	GCF_000422925.1	100.000000	4042	4042	4030	0.997031	0.400000	0.500000
677621350	349975553	GCF_000422925.1	GCF_003202035.1	69.307845	4042	4161	2167	0.528343	0.400000	0.500000
677621350	730038303	GCF_000422925.1	GCF_003633895.1	67.752841	4042	3355	1813	0.490199	0.400000	0.500000
677621350	1030845766	GCF_000422925.1	GCF_900177275.1	70.297170	4042	4028	1961	0.485998	0.400000	0.500000
349975553	427530303	GCF_003202035.1	GCA_004346645.1	72.399824	4161	2743	1994	0.577636	0.400000	0.500000
349975553	662546371	GCF_003202035.1	GCF_000007705.1	74.197819	4161	4325	2407	0.567287	0.400000	0.500000
349975553	677621350	GCF_003202035.1	GCF_000422925.1	69.307845	4161	4042	2167	0.528343	0.400000	0.500000
349975553	349975553	GCF_003202035.1	GCF_003202035.1	100.000000	4161	4161	4148	0.996876	0.400000	0.500000
349975553	730038303	GCF_003202035.1	GCF_003633895.1	71.067409	4161	3355	2200	0.585418	0.400000	0.500000
349975553	1030845766	GCF_003202035.1	GCF_900177275.1	73.219652	4161	4028	2267	0.553670	0.400000	0.500000
730038303	427530303	GCF_003633895.1	GCA_004346645.1	71.355842	3355	2743	1960	0.642834	0.400000	0.500000
730038303	662546371	GCF_003633895.1	GCF_000007705.1	70.167998	3355	4325	2103	0.547656	0.400000	0.500000
730038303	677621350	GCF_003633895.1	GCF_000422925.1	67.752841	3355	4042	1813	0.490199	0.400000	0.500000
730038303	349975553	GCF_003633895.1	GCF_003202035.1	71.067409	3355	4161	2200	0.585418	0.400000	0.500000
730038303	730038303	GCF_003633895.1	GCF_003633895.1	100.000000	3355	3355	3352	0.999106	0.400000	0.500000
730038303	1030845766	GCF_003633895.1	GCF_900177275.1	71.949027	3355	4028	2312	0.626304	0.400000	0.500000
1030845766	427530303	GCF_900177275.1	GCA_004346645.1	73.350359	4028	2743	1949	0.575690	0.400000	0.500000
1030845766	662546371	GCF_900177275.1	GCF_000007705.1	72.100276	4028	4325	2174	0.520532	0.400000	0.500000
1030845766	677621350	GCF_900177275.1	GCF_000422925.1	70.297170	4028	4042	1961	0.485998	0.400000	0.500000
1030845766	349975553	GCF_900177275.1	GCF_003202035.1	73.219652	4028	4161	2267	0.553670	0.400000	0.500000
1030845766	730038303	GCF_900177275.1	GCF_003633895.1	71.949027	4028	3355	2312	0.626304	0.400000	0.500000
1030845766	1030845766	GCF_900177275.1	GCF_900177275.1	100.000000	4028	4028	3889	0.965492	0.400000	0.500000
