POCP	GCF_900637725.1.faa	GCF_900182665.1.faa	GCF_900155645.1.faa	GCF_900101785.1.faa	GCF_900092135.1.faa	GCF_011758645.1.faa	GCF_006716235.1.faa	GCF_004364645.1.faa	GCF_003752415.1.faa	GCF_003344635.1.faa	GCF_003030305.1.faa	GCF_002250565.1.faa	GCF_000940845.1.faa	GCF_000425285.1.faa	GCF_000423485.1.faa	GCF_000423085.1.faa	GCF_000421525.1.faa	GCF_000270245.1.faa
GCF_900637725.1.faa	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900182665.1.faa	40.130786439511276	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900155645.1.faa	39.742278584577626	38.97468897468897	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900101785.1.faa	33.49295774647887	37.65459042630583	30.650310872122333	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900092135.1.faa	37.2360248447205	45.13117656526638	37.55433755433755	40.88243135163957	100	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_011758645.1.faa	39.63076923076923	41.00111589351187	44.627172491123154	37.93969849246231	41.8574326282237	100	~	~	~	~	~	~	~	~	~	~	~	~
GCF_006716235.1.faa	40.30785752640057	41.92164179104478	39.65750337990085	40.908407279290124	47.303389547503755	38.23772524384196	100	~	~	~	~	~	~	~	~	~	~	~
GCF_004364645.1.faa	36.626506024096386	40.230076692230746	34.35776201733648	48.08563194730341	43.02097480006036	39.91326454314341	46.55351576030481	100	~	~	~	~	~	~	~	~	~	~
GCF_003752415.1.faa	43.63982848975703	47.47940691927512	40.345765345765344	41.106128550074736	47.201074787281684	43.15727178576713	46.21963735887786	43.22948797038865	100	~	~	~	~	~	~	~	~	~
GCF_003344635.1.faa	33.286966198358606	37.043952887101405	30.21523178807947	71.32468791661617	40.27137399552101	37.040909685008494	40.90234490946869	46.963123644251624	40.453813104189045	100	~	~	~	~	~	~	~	~
GCF_003030305.1.faa	42.86516853932584	41.42382163113632	42.13791457885946	35.00468603561387	40.47370254266806	39.60703205791106	43.46492125178973	38.393341776732406	47.41918199678514	34.232013557233095	100	~	~	~	~	~	~	~
GCF_002250565.1.faa	37.893462469733656	40.054005400540056	35.37664580185625	42.738164815897136	40.50776196636481	38.70916079436259	44.92590508347402	43.59189143910203	41.897036914418145	42.0020193278523	39.53579858379229	100	~	~	~	~	~	~
GCF_000940845.1.faa	43.02303802210152	43.97496087636933	48.85441527446301	35.18200281206062	42.65807350635778	49.59489743147733	41.44844517184943	40.8432862830257	48.767416934619504	34.14483821263482	49.342814048696404	39.91737163092662	100	~	~	~	~	~
GCF_000425285.1.faa	42.78745644599303	42.499546526392166	41.38531910259203	37.13613643046163	42.78736567893194	43.64721057723315	41.765929287199846	40.762611776615486	48.45807634605768	36.48236830648672	59.67869892899643	41.520787746170676	51.16048403094624	100	~	~	~	~
GCF_000423485.1.faa	42.181069958847736	38.894884524066484	70.92427917003504	30.580884836203985	37.81832003040669	45.452837279218336	40.757541392606036	34.77313255399247	42.19574135573354	30.527366494759605	45.2426717924075	37.38053866203301	51.42994472482576	42.875931608943446	100	~	~	~
GCF_000423085.1.faa	33.82654556108995	38.77860281860888	33.09846750044038	39.45233265720081	47.800221361372444	37.67837541163557	48.564705882352946	43.27677170968202	41.19971771347918	39.55120972796791	35.117493472584854	41.0806697108067	38.093683695119964	38.46507352941176	33.25070821529745	100	~	~
GCF_000421525.1.faa	42.374380750176925	47.88940092165899	42.08305574061736	46.2317545427465	48.34819953749587	44.71704285246974	45.02980196116131	44.15139578694982	53.341228218575544	46.21490518888726	48.42551473556722	46.29355077835434	46.59802140117101	49.02876354127755	43.02637460885114	42.46894409937888	100	~
GCF_000270245.1.faa	31.025672222898166	35.28528528528528	27.256011315417254	44.51028983945696	37.68704326644241	34.08593480013823	34.03707518022657	42.338805615036875	36.93087992451049	43.681963713980785	30.461374817178566	34.660303905563225	32.16755319148936	33.745739174346674	26.828575486436584	37.57077828355723	38.337801608579085	100
