POCP	GCF_900112205.1.faa	GCF_023008585.1.faa	GCF_023008545.1.faa	GCF_020177375.1.faa	GCF_006543045.1.faa	GCF_004799645.1.faa	GCF_003841505.1.faa	GCF_003430825.1.faa	GCF_002177135.1.faa	GCF_000517625.1.faa	GCF_000337555.1.faa	GCF_000337515.1.faa	GCF_000337215.1.faa	GCF_000328685.1.faa	GCF_000230735.2.faa	GCF_000230715.2.faa	GCF_000217715.1.faa	GCF_000025325.1.faa
GCF_900112205.1.faa	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_023008585.1.faa	64.99310661764706	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_023008545.1.faa	65.30225295561009	85.24371244157578	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_020177375.1.faa	56.260452670308844	58.38246746022917	58.72878607718085	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_006543045.1.faa	67.67539385696475	61.4271174940631	60.658978583196046	54.62231005709267	100	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_004799645.1.faa	68.21883243491226	67.13582789792882	67.39251194311743	56.01954686805865	67.17091894332806	100	~	~	~	~	~	~	~	~	~	~	~	~
GCF_003841505.1.faa	67.4133030130756	61.565513329551905	61.286768756196984	56.420704845814974	67.74121334228789	66.07021517553794	100	~	~	~	~	~	~	~	~	~	~	~
GCF_003430825.1.faa	69.12951695020489	63.27263718568067	62.51949610077985	52.17078436075797	69.8974609375	71.46389713155293	66.81773640372366	100	~	~	~	~	~	~	~	~	~	~
GCF_002177135.1.faa	65.88149587178242	58.866279069767444	58.581826719887296	57.563666236357236	65.6955223880597	66.47321968323057	67.42542230741584	66.37738330046022	100	~	~	~	~	~	~	~	~	~
GCF_000517625.1.faa	62.80531183305668	60.31464395552402	59.78659935750345	57.97683220552816	61.08713402542867	61.908135553194	60.889409011117614	60.83557606048956	64.14976208364638	100	~	~	~	~	~	~	~	~
GCF_000337555.1.faa	66.11245814571066	60.74185001727912	60.6619702560662	57.26581712497205	61.26136363636364	62.61499540018399	61.912904696762425	61.76836861768369	64.0935102885669	68.42230412554987	100	~	~	~	~	~	~	~
GCF_000337515.1.faa	60.195844912002116	58.37402665962782	57.25220053578263	51.5047181841367	56.57484407484408	56.678082191780824	56.15545122587376	57.13254403696217	56.78717119144746	56.95908033392637	57.92407751526414	100	~	~	~	~	~	~
GCF_000337215.1.faa	67.0564195708934	63.07622607316797	62.56737432625674	54.288541895755436	69.09924005364327	72.97602894617819	66.69282511210763	69.47909024211299	67.01351512976916	63.558826965767025	63.66947416344184	57.22468107263733	100	~	~	~	~	~
GCF_000328685.1.faa	67.92780284623394	62.36869444765093	62.17366946778712	58.17652329749103	64.06285584149396	69.1173081355151	65.15878455563171	65.863704443335	65.63758389261744	62.50446800905517	63.74709976798144	56.692389568919644	70.01596715328468	100	~	~	~	~
GCF_000230735.2.faa	67.08453133985049	66.87320711417098	65.99086554528239	58.173719376391986	66.2666968530677	68.65979381443299	64.71723824665001	64.62053571428571	63.04110585667515	62.924807578448785	63.59547970479705	58.66807610993657	67.81179138321995	63.7046452507511	100	~	~	~
GCF_000230715.2.faa	69.48420533070089	62.80157557853274	61.54304793703792	52.997973536774346	66.16523110518015	67.55129622803784	66.00121728545344	73.06302689682859	65.07314524555903	59.16730328495034	60.68555871798045	57.302565572595675	65.29347429821364	65.11224110132704	62.85890326555761	100	~	~
GCF_000217715.1.faa	70.48570764582848	62.76373753767679	62.71377137713772	59.02598132943426	63.96798170383076	65.45538710797362	64.517609269244	64.84012539184954	71.36553076734494	66.40737194830062	69.15996737737387	58.61746222757053	65.91455732447601	65.79100992410974	68.13276082163165	62.833291801644656	100	~
GCF_000025325.1.faa	66.68408948358771	62.74775714583768	62.753858651502846	58.420464927418536	62.4317362184441	66.87845016144152	62.62271365092488	61.15277000559597	63.4349638078526	66.83125805066553	68.0603583778686	56.17964213769404	69.78639975234753	67.89501312335958	68.9046674323901	58.91386601379924	71.964586846543	100
