ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
210981984	210981984	GCA_014138725.1	GCA_014138725.1	100.000000	9235	9235	9169	0.992853	0.400000	0.500000
210981984	902686784	GCA_014138725.1	GCF_000023245.1	65.801168	9235	7056	3295	0.404518	0.400000	0.500000
210981984	897086076	GCA_014138725.1	GCF_000023865.1	65.412807	9235	3858	2155	0.329184	0.400000	0.500000
210981984	347009564	GCA_014138725.1	GCF_000379465.1	62.190848	9235	8138	3196	0.367927	0.400000	0.500000
210981984	348737442	GCA_014138725.1	GCF_000379625.1	60.315881	9235	5702	2292	0.306889	0.400000	0.500000
210981984	819843584	GCA_014138725.1	GCF_000427825.1	63.986111	9235	4193	2196	0.327078	0.400000	0.500000
210981984	870815986	GCA_014138725.1	GCF_000429185.2	64.601741	9235	4942	2441	0.344361	0.400000	0.500000
210981984	985631673	GCA_014138725.1	GCF_000478275.1	64.197871	9235	8252	3805	0.435180	0.400000	0.500000
210981984	916567476	GCA_014138725.1	GCF_000719115.1	65.055837	9235	8240	3769	0.431359	0.400000	0.500000
210981984	924134390	GCA_014138725.1	GCF_000719975.1	64.382454	9235	4923	2502	0.353440	0.400000	0.500000
210981984	466699659	GCA_014138725.1	GCF_003002815.1	66.313697	9235	9401	4103	0.440331	0.400000	0.500000
210981984	76990720	GCA_014138725.1	GCF_004216555.1	65.115067	9235	6575	3116	0.394181	0.400000	0.500000
210981984	135581399	GCA_014138725.1	GCF_004340875.1	64.321933	9235	5976	2788	0.366577	0.400000	0.500000
210981984	1068113883	GCA_014138725.1	GCF_004345645.1	64.858100	9235	10643	4043	0.406781	0.400000	0.500000
210981984	622793486	GCA_014138725.1	GCF_004362825.1	64.842442	9235	7726	3374	0.397854	0.400000	0.500000
210981984	675434183	GCA_014138725.1	GCF_004364325.1	63.874882	9235	9440	3617	0.387363	0.400000	0.500000
210981984	385839233	GCA_014138725.1	GCF_005405885.1	68.669231	9235	5758	3016	0.402321	0.400000	0.500000
210981984	425124921	GCA_014138725.1	GCF_008386585.1	67.751789	9235	8540	4081	0.459184	0.400000	0.500000
210981984	193863818	GCA_014138725.1	GCF_008630535.1	64.487232	9235	6873	3172	0.393842	0.400000	0.500000
210981984	92465741	GCA_014138725.1	GCF_009664835.1	64.550781	9235	4460	2433	0.355312	0.400000	0.500000
210981984	208924381	GCA_014138725.1	GCF_014137975.1	63.774449	9235	5057	2358	0.329975	0.400000	0.500000
210981984	932792360	GCA_014138725.1	GCF_014204915.1	65.027627	9235	8593	4016	0.450527	0.400000	0.500000
210981984	330091203	GCA_014138725.1	GCF_014645795.1	66.626734	9235	6407	2955	0.377829	0.400000	0.500000
210981984	315801587	GCA_014138725.1	GCF_016464705.1	65.334102	9235	6353	2950	0.378496	0.400000	0.500000
210981984	823501033	GCA_014138725.1	GCF_024171785.1	67.203297	9235	7396	3458	0.415850	0.400000	0.500000
210981984	77130120	GCA_014138725.1	GCF_900103775.1	65.402176	9235	7914	3699	0.431395	0.400000	0.500000
210981984	946476480	GCA_014138725.1	GCF_900129375.1	66.536899	9235	6511	3286	0.417376	0.400000	0.500000
210981984	700175478	GCA_014138725.1	GCF_900142365.1	61.677794	9235	5878	2371	0.313770	0.400000	0.500000
210981984	1004808432	GCA_014138725.1	GCF_900176515.1	64.528178	9235	11093	4035	0.396989	0.400000	0.500000
210981984	201607317	GCA_014138725.1	GCF_900188115.1	63.691921	9235	4469	2129	0.310712	0.400000	0.500000
902686784	210981984	GCF_000023245.1	GCA_014138725.1	65.801168	7056	9235	3295	0.404518	0.400000	0.500000
902686784	902686784	GCF_000023245.1	GCF_000023245.1	100.000000	7056	7056	7053	0.999575	0.400000	0.500000
902686784	897086076	GCF_000023245.1	GCF_000023865.1	65.022238	7056	3858	2091	0.383178	0.400000	0.500000
902686784	347009564	GCF_000023245.1	GCF_000379465.1	62.322282	7056	8138	2428	0.319600	0.400000	0.500000
902686784	348737442	GCF_000023245.1	GCF_000379625.1	60.758023	7056	5702	1988	0.311648	0.400000	0.500000
902686784	819843584	GCF_000023245.1	GCF_000427825.1	63.974791	7056	4193	2031	0.361099	0.400000	0.500000
902686784	870815986	GCF_000023245.1	GCF_000429185.2	64.427697	7056	4942	2419	0.403234	0.400000	0.500000
902686784	985631673	GCF_000023245.1	GCF_000478275.1	63.814997	7056	8252	3124	0.408153	0.400000	0.500000
902686784	916567476	GCF_000023245.1	GCF_000719115.1	68.371818	7056	8240	3708	0.484833	0.400000	0.500000
902686784	924134390	GCF_000023245.1	GCF_000719975.1	64.178181	7056	4923	2326	0.388346	0.400000	0.500000
902686784	466699659	GCF_000023245.1	GCF_003002815.1	70.375151	7056	9401	4137	0.502765	0.400000	0.500000
902686784	76990720	GCF_000023245.1	GCF_004216555.1	64.802427	7056	6575	2699	0.396009	0.400000	0.500000
902686784	135581399	GCF_000023245.1	GCF_004340875.1	64.081260	7056	5976	2452	0.376304	0.400000	0.500000
902686784	1068113883	GCF_000023245.1	GCF_004345645.1	64.387553	7056	10643	3077	0.347703	0.400000	0.500000
902686784	622793486	GCF_000023245.1	GCF_004362825.1	64.263545	7056	7726	2894	0.391557	0.400000	0.500000
902686784	675434183	GCF_000023245.1	GCF_004364325.1	63.735170	7056	9440	3230	0.391610	0.400000	0.500000
902686784	385839233	GCF_000023245.1	GCF_005405885.1	67.954207	7056	5758	2472	0.385828	0.400000	0.500000
902686784	425124921	GCF_000023245.1	GCF_008386585.1	68.014184	7056	8540	3236	0.414978	0.400000	0.500000
902686784	193863818	GCF_000023245.1	GCF_008630535.1	64.231764	7056	6873	2698	0.387393	0.400000	0.500000
902686784	92465741	GCF_000023245.1	GCF_009664835.1	64.441866	7056	4460	2170	0.376867	0.400000	0.500000
902686784	208924381	GCF_000023245.1	GCF_014137975.1	63.548973	7056	5057	2142	0.353670	0.400000	0.500000
902686784	932792360	GCF_000023245.1	GCF_014204915.1	64.605903	7056	8593	3202	0.409227	0.400000	0.500000
902686784	330091203	GCF_000023245.1	GCF_014645795.1	66.375414	7056	6407	2536	0.376736	0.400000	0.500000
902686784	315801587	GCF_000023245.1	GCF_016464705.1	64.748157	7056	6353	2577	0.384369	0.400000	0.500000
902686784	823501033	GCF_000023245.1	GCF_024171785.1	66.935964	7056	7396	3231	0.447135	0.400000	0.500000
902686784	77130120	GCF_000023245.1	GCF_900103775.1	64.974601	7056	7914	3069	0.410020	0.400000	0.500000
902686784	946476480	GCF_000023245.1	GCF_900129375.1	65.914876	7056	6511	2820	0.415715	0.400000	0.500000
902686784	700175478	GCF_000023245.1	GCF_900142365.1	61.976339	7056	5878	2109	0.326117	0.400000	0.500000
902686784	1004808432	GCF_000023245.1	GCF_900176515.1	64.093931	7056	11093	3411	0.375888	0.400000	0.500000
902686784	201607317	GCF_000023245.1	GCF_900188115.1	63.432237	7056	4469	1900	0.329718	0.400000	0.500000
897086076	210981984	GCF_000023865.1	GCA_014138725.1	65.412807	3858	9235	2155	0.329184	0.400000	0.500000
897086076	902686784	GCF_000023865.1	GCF_000023245.1	65.022238	3858	7056	2091	0.383178	0.400000	0.500000
897086076	897086076	GCF_000023865.1	GCF_000023865.1	100.000000	3858	3858	3856	0.999482	0.400000	0.500000
897086076	347009564	GCF_000023865.1	GCF_000379465.1	63.886649	3858	8138	2086	0.347783	0.400000	0.500000
897086076	348737442	GCF_000023865.1	GCF_000379625.1	61.170336	3858	5702	1726	0.361088	0.400000	0.500000
897086076	819843584	GCF_000023865.1	GCF_000427825.1	68.010540	3858	4193	2054	0.510247	0.400000	0.500000
897086076	870815986	GCF_000023865.1	GCF_000429185.2	64.704966	3858	4942	1913	0.434773	0.400000	0.500000
897086076	985631673	GCF_000023865.1	GCF_000478275.1	69.251686	3858	8252	2550	0.421140	0.400000	0.500000
897086076	916567476	GCF_000023865.1	GCF_000719115.1	64.365978	3858	8240	2178	0.360060	0.400000	0.500000
897086076	924134390	GCF_000023865.1	GCF_000719975.1	71.465660	3858	4923	2567	0.584671	0.400000	0.500000
897086076	466699659	GCF_000023865.1	GCF_003002815.1	65.171922	3858	9401	2201	0.332001	0.400000	0.500000
897086076	76990720	GCF_000023865.1	GCF_004216555.1	65.962453	3858	6575	2120	0.406403	0.400000	0.500000
897086076	135581399	GCF_000023865.1	GCF_004340875.1	66.463870	3858	5976	2300	0.467765	0.400000	0.500000
897086076	1068113883	GCF_000023865.1	GCF_004345645.1	65.440490	3858	10643	2203	0.303841	0.400000	0.500000
897086076	622793486	GCF_000023865.1	GCF_004362825.1	65.506441	3858	7726	2197	0.379316	0.400000	0.500000
897086076	675434183	GCF_000023865.1	GCF_004364325.1	65.259978	3858	9440	2255	0.339149	0.400000	0.500000
897086076	385839233	GCF_000023865.1	GCF_005405885.1	67.049665	3858	5758	2087	0.434068	0.400000	0.500000
897086076	425124921	GCF_000023865.1	GCF_008386585.1	65.938033	3858	8540	2064	0.332957	0.400000	0.500000
897086076	193863818	GCF_000023865.1	GCF_008630535.1	65.418649	3858	6873	2228	0.415246	0.400000	0.500000
897086076	92465741	GCF_000023865.1	GCF_009664835.1	64.424045	3858	4460	2015	0.484491	0.400000	0.500000
897086076	208924381	GCF_000023865.1	GCF_014137975.1	63.626509	3858	5057	2005	0.449804	0.400000	0.500000
897086076	932792360	GCF_000023865.1	GCF_014204915.1	64.375120	3858	8593	2090	0.335716	0.400000	0.500000
897086076	330091203	GCF_000023865.1	GCF_014645795.1	65.687170	3858	6407	2007	0.391038	0.400000	0.500000
897086076	315801587	GCF_000023865.1	GCF_016464705.1	73.127869	3858	6353	2806	0.549603	0.400000	0.500000
897086076	823501033	GCF_000023865.1	GCF_024171785.1	66.180537	3858	7396	2199	0.390794	0.400000	0.500000
897086076	77130120	GCF_000023865.1	GCF_900103775.1	64.694963	3858	7914	2174	0.369351	0.400000	0.500000
897086076	946476480	GCF_000023865.1	GCF_900129375.1	65.844217	3858	6511	2049	0.395217	0.400000	0.500000
897086076	700175478	GCF_000023865.1	GCF_900142365.1	62.871292	3858	5878	1773	0.364215	0.400000	0.500000
897086076	1004808432	GCF_000023865.1	GCF_900176515.1	65.282988	3858	11093	2366	0.316501	0.400000	0.500000
897086076	201607317	GCF_000023865.1	GCF_900188115.1	67.390881	3858	4469	1974	0.474120	0.400000	0.500000
347009564	210981984	GCF_000379465.1	GCA_014138725.1	62.190848	8138	9235	3196	0.367927	0.400000	0.500000
347009564	902686784	GCF_000379465.1	GCF_000023245.1	62.322282	8138	7056	2428	0.319600	0.400000	0.500000
347009564	897086076	GCF_000379465.1	GCF_000023865.1	63.886649	8138	3858	2086	0.347783	0.400000	0.500000
347009564	347009564	GCF_000379465.1	GCF_000379465.1	100.000000	8138	8138	8114	0.997051	0.400000	0.500000
347009564	348737442	GCF_000379465.1	GCF_000379625.1	59.118747	8138	5702	2243	0.324133	0.400000	0.500000
347009564	819843584	GCF_000379465.1	GCF_000427825.1	62.671308	8138	4193	2194	0.355851	0.400000	0.500000
347009564	870815986	GCF_000379465.1	GCF_000429185.2	62.272802	8138	4942	2059	0.314832	0.400000	0.500000
