POCP	GCF_900182575.1.faa	GCF_900109365.1.faa	GCF_008033235.1.faa	GCF_004339765.1.faa	GCF_003609575.1.faa	GCF_003130405.1.faa	GCF_000427965.1.faa	GCF_000403135.1.faa	GCF_000166195.2.faa	GCF_000143765.1.faa	GCF_000023825.1.faa
GCF_900182575.1.faa	100	~	~	~	~	~	~	~	~	~	~
GCF_900109365.1.faa	36.25162127107652	100	~	~	~	~	~	~	~	~	~
GCF_008033235.1.faa	44.28165645088952	42.777970211292	100	~	~	~	~	~	~	~	~
GCF_004339765.1.faa	45.948846360221786	48.98849662832209	46.010394374808925	100	~	~	~	~	~	~	~
GCF_003609575.1.faa	44.282546721571116	39.46415640839971	39.40812112869924	50.51078320090806	100	~	~	~	~	~	~
GCF_003130405.1.faa	37.85239944869064	43.393951572390236	37.63994626063592	42.13683941792188	43.543297884772706	100	~	~	~	~	~
GCF_000427965.1.faa	37.559386453101666	52.639468893885855	38.73527290213994	48.11634349030471	41.25645222208234	42.24765868886576	100	~	~	~	~
GCF_000403135.1.faa	42.06517139229793	42.655336055623	39.539800995024876	47.33506194180352	45.8969341161122	51.83240462923274	44.41385638908007	100	~	~	~
GCF_000166195.2.faa	33.15581854043393	37.42569352708058	31.82760797042647	34.82437706394476	39.445688689809636	44.41573124444803	36.74058968476506	42.27656426768775	100	~	~
GCF_000143765.1.faa	38.359751895244656	46.66738918391677	37.46039483304899	46.49690489589196	42.855318605542074	40.80859128237524	46.5330932012607	40.55310248663723	33.61928455005576	100	~
GCF_000023825.1.faa	44.685618260747795	43.00449906726654	43.956994562530895	47.369173577352015	46.41700142542439	48.04987212276215	42.82782212086659	47.66839378238342	41.20246036558953	44.16724416724417	100
