POCP	GCF_900454895.1.faa	GCF_900444945.1.faa	GCF_900187275.1.faa	GCF_014884965.1.faa	GCF_014202395.1.faa	GCF_013377275.1.faa	GCF_011455875.1.faa	GCF_011455495.1.faa	GCF_009761395.1.faa	GCF_009684715.1.faa	GCF_004565475.1.faa	GCF_004363295.1.faa	GCF_004346205.1.faa	GCF_004345785.1.faa	GCF_004345745.1.faa	GCF_004342115.1.faa	GCF_004340985.1.faa	GCF_004339025.1.faa	GCF_002921135.1.faa	GCF_002795425.1.faa	GCF_002795405.1.faa	GCF_002015085.1.faa	GCF_002015075.1.faa	GCF_001457655.1.faa	GCF_001038205.1.faa	GCF_000772535.1.faa	GCF_000379905.1.faa	GCF_000379785.1.faa	GCF_000372365.1.faa
GCF_900454895.1.faa	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900444945.1.faa	60.427939006394496	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900187275.1.faa	59.802955665024626	68.83116883116884	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014884965.1.faa	56.039461020211746	63.56370474847203	67.65536723163842	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014202395.1.faa	58.58296431362334	63.3731267462535	69.11727295853473	61.037993543580825	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_013377275.1.faa	63.5498776841533	71.11464124966905	66.50755767700875	61.96017584690975	64.0	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_011455875.1.faa	57.83433133732535	73.38041889917194	72.1219512195122	63.346043851286936	65.01675689610724	65.42081204624898	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_011455495.1.faa	62.493677288821445	74.06219151036525	71.84873949579831	63.25446644133269	63.21568627450981	75.19781718963165	67.57636454682023	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_009761395.1.faa	61.51032140057487	72.5859872611465	67.4151569277877	62.864259028642586	64.44023796646836	75.6359525155455	65.70985259891388	75.81956464725937	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_009684715.1.faa	63.10299869621904	71.24332570556827	69.54418130888719	63.43524732786477	66.40582838640043	72.58883248730965	65.08387096774193	76.39361423711071	76.25879805089333	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_004565475.1.faa	54.14847161572053	66.50932793886267	67.72451046590142	60.87243886318572	61.22690667929891	62.50615460364352	70.25734456843543	64.62992852201982	63.51543942992875	62.11474632527264	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_004363295.1.faa	57.83525866398794	71.76470588235294	72.55768286696122	63.30935251798561	66.90890215416559	66.04386677497969	77.44903033316758	67.16229838709677	65.76412392606092	65.73135879449208	68.77434135166094	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_004346205.1.faa	60.34693378939653	76.73586256263421	67.59856630824372	61.45760336370007	62.84056508577195	72.13459516298633	69.3201064601984	73.8906594753616	72.62145748987854	71.23737373737373	63.06970509383378	68.44411979547115	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_004345785.1.faa	64.90866992539233	69.33500627352572	74.79266147273185	64.26993865030674	69.53166577967004	67.23179544191218	69.56964604023428	70.46217402530338	70.31500266951414	72.85562067128396	66.11241217798595	69.34119456549602	67.57228315054834	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_004345745.1.faa	59.17036264022959	70.41465276011193	66.01273885350318	61.60159164386968	63.12095032397408	70.93679458239278	63.5166537567777	71.222833202409	72.23726977248104	69.67567567567568	61.551233396584436	65.34962308292177	68.84790298130369	67.61727078891258	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_004342115.1.faa	58.1148429035753	70.5919796308084	62.56639048226046	57.98459296273163	61.502452073116366	64.23948220064725	62.470461868958104	68.68072158226472	66.227089852481	65.41722445336903	62.42496998799519	62.0652408727587	71.0337552742616	62.946625496250554	67.27678571428571	100	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_004340985.1.faa	53.3082540385041	65.71366688325753	67.49078291043158	60.22944550669216	61.84510250569476	57.5177304964539	72.86685676683483	62.30854605993341	59.958885335769764	59.94072047423621	65.21827825377396	71.85087138760203	63.82428940568475	64.37584497521406	59.14689781021898	59.54316686024003	100	~	~	~	~	~	~	~	~	~	~	~	~
GCF_004339025.1.faa	57.540263543191806	68.4461391801716	68.99761336515513	66.61222585160989	64.17233560090703	65.5552638487792	69.18801353310778	66.57688540646424	66.36340662117766	66.45649432534678	67.86431600089266	71.59533073929961	67.91380535164575	68.30968384366443	64.7993943981832	63.14014752370917	65.06775650677565	100	~	~	~	~	~	~	~	~	~	~	~
GCF_002921135.1.faa	58.99383009017561	69.59647495361781	70.13469577333953	66.31076783280328	67.31946144430844	65.50318471337579	71.48566055477198	68.95238095238095	65.55364596120795	67.65498652291106	65.76027844246248	70.22232734153265	69.14035492048859	71.69126542463103	63.64304976709978	63.71117054104094	66.94648478488983	72.16850828729282	100	~	~	~	~	~	~	~	~	~	~
GCF_002795425.1.faa	55.146067415730336	67.6561125769569	69.19859092910612	62.505390254420014	65.63295533441334	61.35544340302812	69.62138084632517	63.615870153291254	64.26084938500813	63.16886726893676	65.90109662735361	69.64605734767025	66.14207650273224	67.93316548409247	63.56894553881808	63.19403570727879	71.34573085382924	67.64192139737992	69.61243611584327	100	~	~	~	~	~	~	~	~	~
GCF_002795405.1.faa	57.845379688929555	68.76957494407159	68.5931899641577	62.87280701754386	65.07188310157908	62.45407788390889	73.09610154125113	65.28223955943093	64.87827936658	64.23684831328144	67.59200841219769	73.02781577747378	64.59862130309095	70.2400372873456	63.0870899221147	64.45507073122135	68.55575868372942	68.21412705464238	71.54612386314422	70.56036258755665	100	~	~	~	~	~	~	~	~
GCF_002015085.1.faa	59.78688904331712	67.678369195923	62.122930369698345	58.00221975582686	61.819484240687686	67.35352532274081	60.70690842322699	69.60260283523124	68.86973180076629	68.64244741873804	61.191489361702125	60.33248672362041	67.89734353894642	63.904627006610006	67.55141080822573	68.69460112812249	57.60065735414954	63.95322689453564	64.49704142011834	61.07522400500104	63.65176869307349	100	~	~	~	~	~	~	~
GCF_002015075.1.faa	56.344940406637065	62.89696138907927	68.22237474262182	60.84620550705171	70.36144578313252	61.05263157894737	63.60268580689975	63.376318874560376	61.938134364427256	62.42161119150988	63.17031317031317	64.91963661774982	61.671207992733876	68.8423058599333	59.24227799227799	60.41412911084044	61.15942028985507	65.7518711726015	68.66298342541437	62.86494433942449	67.17915865897929	63.72082973206569	100	~	~	~	~	~	~
GCF_001457655.1.faa	60.49774953666931	67.71612903225807	69.88886017058672	62.52206809583859	69.46271929824562	66.5711009174312	67.67094576892848	66.9146957214988	66.14411441144115	68.11196487376509	65.45673076923076	70.61461355842785	64.88980010251153	69.77813852813853	65.6781987918726	62.88426763110307	62.26894639556377	67.36626567699003	68.77951777280636	63.629960084526886	68.73953599617316	63.790596219098404	67.78375733855187	100	~	~	~	~	~
GCF_001038205.1.faa	56.68775417984636	69.16445623342176	61.885790172642764	58.49588209796273	59.250639981382356	67.75441140923374	61.71070309001343	69.10698096101541	67.79463243873978	65.52527370137433	60.49074651694739	63.288288288288285	69.65502087453307	61.54200230149597	66.93078536471685	65.79932978513699	59.172192083584484	64.90342405618964	64.44777397260275	61.45069274653626	62.91925465838509	67.64397905759162	61.199071142073045	61.794569067296344	100	~	~	~	~
GCF_000772535.1.faa	55.96997953149875	68.96551724137932	69.4809534417465	69.29116684841875	62.32427366447985	62.43914313534567	70.74599954924498	64.7958019621264	62.82894736842105	63.08630393996248	64.6234309623431	69.32668329177058	66.89517912428128	66.51992585727525	62.76396058188644	61.399682791435374	68.49232012934519	66.31323172078639	68.03790652595305	70.01434720229555	66.27785877942095	59.08133164770333	60.62022090059473	61.81645268663814	60.37075180226571	100	~	~	~
GCF_000379905.1.faa	58.8539104771274	69.71661863592699	71.0918710918711	63.58721203573108	66.497332994666	66.56076250992852	70.43351193375548	67.81836130306021	66.64968152866241	65.42079837274345	65.47538772757923	72.57352941176471	66.92913385826772	70.18820577164367	64.71635716102773	62.274559728410786	69.04916612518952	69.51858913250715	71.12708719851577	67.43623570800352	69.23937360178971	62.49150622876557	67.48914781814028	73.34193548387097	67.06454465075154	65.09454949944381	100	~	~
GCF_000379785.1.faa	53.494746459570585	64.96872207327972	64.00447427293065	62.17696014016645	60.48481995763709	60.67498165810712	65.00679040289724	62.12190650779101	61.482180788293604	60.51825677267373	62.71791640411678	63.97996357012751	62.13635354208306	63.602513381428906	60.240395946264435	60.93532338308457	61.594643944004865	67.63531499556345	66.19809688581316	64.44444444444444	64.51275616896696	60.41887031944151	63.382384303689484	62.240267494626224	61.18693134822168	64.26045350530475	63.20375335120644	100	~
