ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
838963835	838963835	GCF_000025945.1	GCF_000025945.1	100.000000	3191	3191	3174	0.994673	0.400000	0.500000
838963835	221566051	GCF_000025945.1	GCF_016918505.1	60.979039	3191	3335	1207	0.369905	0.400000	0.500000
838963835	574115155	GCF_000025945.1	GCF_900130015.1	60.758304	3191	4502	1409	0.366307	0.400000	0.500000
838963835	668686391	GCF_000025945.1	GCF_900143695.1	63.027594	3191	5275	1542	0.364281	0.400000	0.500000
221566051	838963835	GCF_016918505.1	GCF_000025945.1	60.979039	3335	3191	1207	0.369905	0.400000	0.500000
221566051	221566051	GCF_016918505.1	GCF_016918505.1	100.000000	3335	3335	3313	0.993403	0.400000	0.500000
221566051	574115155	GCF_016918505.1	GCF_900130015.1	59.410929	3335	4502	1400	0.357280	0.400000	0.500000
221566051	668686391	GCF_016918505.1	GCF_900143695.1	61.387483	3335	5275	1442	0.334959	0.400000	0.500000
574115155	838963835	GCF_900130015.1	GCF_000025945.1	60.758304	4502	3191	1409	0.366307	0.400000	0.500000
574115155	221566051	GCF_900130015.1	GCF_016918505.1	59.410929	4502	3335	1400	0.357280	0.400000	0.500000
574115155	574115155	GCF_900130015.1	GCF_900130015.1	100.000000	4502	4502	4486	0.996446	0.400000	0.500000
574115155	668686391	GCF_900130015.1	GCF_900143695.1	63.500346	4502	5275	2167	0.443285	0.400000	0.500000
668686391	838963835	GCF_900143695.1	GCF_000025945.1	63.027594	5275	3191	1542	0.364281	0.400000	0.500000
668686391	221566051	GCF_900143695.1	GCF_016918505.1	61.387483	5275	3335	1442	0.334959	0.400000	0.500000
668686391	574115155	GCF_900143695.1	GCF_900130015.1	63.500346	5275	4502	2167	0.443285	0.400000	0.500000
668686391	668686391	GCF_900143695.1	GCF_900143695.1	100.000000	5275	5275	5262	0.997536	0.400000	0.500000
