ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
793315804	793315804	GCF_000153125.2	GCF_000153125.2	100.000000	3880	3880	3816	0.983505	0.400000	0.500000
793315804	650021095	GCF_000153125.2	GCF_000158175.1	62.475943	3880	2919	1617	0.475658	0.400000	0.500000
793315804	698862333	GCF_000153125.2	GCF_000423125.1	65.851143	3880	3963	1968	0.501849	0.400000	0.500000
793315804	915079100	GCF_000153125.2	GCF_000764025.1	67.100420	3880	2919	1907	0.560965	0.400000	0.500000
793315804	53176448	GCF_000153125.2	GCF_001983995.1	64.449243	3880	3974	1784	0.454291	0.400000	0.500000
793315804	237673793	GCF_000153125.2	GCF_002868715.1	64.619973	3880	3617	1835	0.489529	0.400000	0.500000
793315804	83733313	GCF_000153125.2	GCF_003402235.1	65.183838	3880	4446	1881	0.451838	0.400000	0.500000
793315804	138500917	GCF_000153125.2	GCF_004340525.1	66.185236	3880	3455	2032	0.554056	0.400000	0.500000
793315804	764333505	GCF_000153125.2	GCF_009910365.1	62.019027	3880	2818	1511	0.451179	0.400000	0.500000
793315804	521618666	GCF_000153125.2	GCF_014077625.1	65.335510	3880	2965	1608	0.469832	0.400000	0.500000
650021095	793315804	GCF_000158175.1	GCF_000153125.2	62.475943	2919	3880	1617	0.475658	0.400000	0.500000
650021095	650021095	GCF_000158175.1	GCF_000158175.1	100.000000	2919	2919	2908	0.996232	0.400000	0.500000
650021095	698862333	GCF_000158175.1	GCF_000423125.1	62.868008	2919	3963	1541	0.447835	0.400000	0.500000
650021095	915079100	GCF_000158175.1	GCF_000764025.1	63.222426	2919	2919	1612	0.552244	0.400000	0.500000
650021095	53176448	GCF_000158175.1	GCF_001983995.1	62.427819	2919	3974	1481	0.429711	0.400000	0.500000
650021095	237673793	GCF_000158175.1	GCF_002868715.1	62.529376	2919	3617	1554	0.475520	0.400000	0.500000
650021095	83733313	GCF_000158175.1	GCF_003402235.1	62.608020	2919	4446	1571	0.426612	0.400000	0.500000
650021095	138500917	GCF_000158175.1	GCF_004340525.1	62.723419	2919	3455	1518	0.476310	0.400000	0.500000
650021095	764333505	GCF_000158175.1	GCF_009910365.1	61.130000	2919	2818	1305	0.454942	0.400000	0.500000
650021095	521618666	GCF_000158175.1	GCF_014077625.1	62.729684	2919	2965	1393	0.473487	0.400000	0.500000
698862333	793315804	GCF_000423125.1	GCF_000153125.2	65.851143	3963	3880	1968	0.501849	0.400000	0.500000
698862333	650021095	GCF_000423125.1	GCF_000158175.1	62.868008	3963	2919	1541	0.447835	0.400000	0.500000
698862333	698862333	GCF_000423125.1	GCF_000423125.1	100.000000	3963	3963	3947	0.995963	0.400000	0.500000
698862333	915079100	GCF_000423125.1	GCF_000764025.1	67.216796	3963	2919	1810	0.526010	0.400000	0.500000
698862333	53176448	GCF_000423125.1	GCF_001983995.1	67.945801	3963	3974	1953	0.492125	0.400000	0.500000
698862333	237673793	GCF_000423125.1	GCF_002868715.1	74.630373	3963	3617	2387	0.629815	0.400000	0.500000
698862333	83733313	GCF_000423125.1	GCF_003402235.1	70.691809	3963	4446	2393	0.569152	0.400000	0.500000
698862333	138500917	GCF_000423125.1	GCF_004340525.1	66.704215	3963	3455	1898	0.511728	0.400000	0.500000
698862333	764333505	GCF_000423125.1	GCF_009910365.1	63.024924	3963	2818	1635	0.482230	0.400000	0.500000
698862333	521618666	GCF_000423125.1	GCF_014077625.1	69.871333	3963	2965	2011	0.580543	0.400000	0.500000
915079100	793315804	GCF_000764025.1	GCF_000153125.2	67.100420	2919	3880	1907	0.560965	0.400000	0.500000
915079100	650021095	GCF_000764025.1	GCF_000158175.1	63.222426	2919	2919	1612	0.552244	0.400000	0.500000
915079100	698862333	GCF_000764025.1	GCF_000423125.1	67.216796	2919	3963	1810	0.526010	0.400000	0.500000
915079100	915079100	GCF_000764025.1	GCF_000764025.1	100.000000	2919	2919	2919	1.000000	0.400000	0.500000
915079100	53176448	GCF_000764025.1	GCF_001983995.1	66.117609	2919	3974	1644	0.477006	0.400000	0.500000
915079100	237673793	GCF_000764025.1	GCF_002868715.1	66.996958	2919	3617	1808	0.553244	0.400000	0.500000
915079100	83733313	GCF_000764025.1	GCF_003402235.1	67.505708	2919	4446	1717	0.466259	0.400000	0.500000
915079100	138500917	GCF_000764025.1	GCF_004340525.1	70.615515	2919	3455	2011	0.631001	0.400000	0.500000
915079100	764333505	GCF_000764025.1	GCF_009910365.1	62.692420	2919	2818	1438	0.501307	0.400000	0.500000
915079100	521618666	GCF_000764025.1	GCF_014077625.1	67.374557	2919	2965	1523	0.517675	0.400000	0.500000
53176448	793315804	GCF_001983995.1	GCF_000153125.2	64.449243	3974	3880	1784	0.454291	0.400000	0.500000
53176448	650021095	GCF_001983995.1	GCF_000158175.1	62.427819	3974	2919	1481	0.429711	0.400000	0.500000
53176448	698862333	GCF_001983995.1	GCF_000423125.1	67.945801	3974	3963	1953	0.492125	0.400000	0.500000
53176448	915079100	GCF_001983995.1	GCF_000764025.1	66.117609	3974	2919	1644	0.477006	0.400000	0.500000
53176448	53176448	GCF_001983995.1	GCF_001983995.1	100.000000	3974	3974	3950	0.993961	0.400000	0.500000
53176448	237673793	GCF_001983995.1	GCF_002868715.1	68.129865	3974	3617	1927	0.507706	0.400000	0.500000
53176448	83733313	GCF_001983995.1	GCF_003402235.1	68.665982	3974	4446	2143	0.509026	0.400000	0.500000
53176448	138500917	GCF_001983995.1	GCF_004340525.1	65.478198	3974	3455	1665	0.448243	0.400000	0.500000
53176448	764333505	GCF_001983995.1	GCF_009910365.1	62.951457	3974	2818	1476	0.434629	0.400000	0.500000
53176448	521618666	GCF_001983995.1	GCF_014077625.1	68.854799	3974	2965	1813	0.522554	0.400000	0.500000
237673793	793315804	GCF_002868715.1	GCF_000153125.2	64.619973	3617	3880	1835	0.489529	0.400000	0.500000
237673793	650021095	GCF_002868715.1	GCF_000158175.1	62.529376	3617	2919	1554	0.475520	0.400000	0.500000
237673793	698862333	GCF_002868715.1	GCF_000423125.1	74.630373	3617	3963	2387	0.629815	0.400000	0.500000
237673793	915079100	GCF_002868715.1	GCF_000764025.1	66.996958	3617	2919	1808	0.553244	0.400000	0.500000
237673793	53176448	GCF_002868715.1	GCF_001983995.1	68.129865	3617	3974	1927	0.507706	0.400000	0.500000
237673793	237673793	GCF_002868715.1	GCF_002868715.1	100.000000	3617	3617	3617	1.000000	0.400000	0.500000
237673793	83733313	GCF_002868715.1	GCF_003402235.1	70.000611	3617	4446	2209	0.547935	0.400000	0.500000
237673793	138500917	GCF_002868715.1	GCF_004340525.1	66.728539	3617	3455	1964	0.555430	0.400000	0.500000
237673793	764333505	GCF_002868715.1	GCF_009910365.1	62.582570	3617	2818	1572	0.488578	0.400000	0.500000
237673793	521618666	GCF_002868715.1	GCF_014077625.1	70.479410	3617	2965	1882	0.571863	0.400000	0.500000
83733313	793315804	GCF_003402235.1	GCF_000153125.2	65.183838	4446	3880	1881	0.451838	0.400000	0.500000
83733313	650021095	GCF_003402235.1	GCF_000158175.1	62.608020	4446	2919	1571	0.426612	0.400000	0.500000
83733313	698862333	GCF_003402235.1	GCF_000423125.1	70.691809	4446	3963	2393	0.569152	0.400000	0.500000
83733313	915079100	GCF_003402235.1	GCF_000764025.1	67.505708	4446	2919	1717	0.466259	0.400000	0.500000
83733313	53176448	GCF_003402235.1	GCF_001983995.1	68.665982	4446	3974	2143	0.509026	0.400000	0.500000
83733313	237673793	GCF_003402235.1	GCF_002868715.1	70.000611	4446	3617	2209	0.547935	0.400000	0.500000
83733313	83733313	GCF_003402235.1	GCF_003402235.1	100.000000	4446	4446	4438	0.998201	0.400000	0.500000
83733313	138500917	GCF_003402235.1	GCF_004340525.1	66.327745	4446	3455	1840	0.465764	0.400000	0.500000
83733313	764333505	GCF_003402235.1	GCF_009910365.1	63.607823	4446	2818	1617	0.445209	0.400000	0.500000
83733313	521618666	GCF_003402235.1	GCF_014077625.1	74.347804	4446	2965	2186	0.589934	0.400000	0.500000
138500917	793315804	GCF_004340525.1	GCF_000153125.2	66.185236	3455	3880	2032	0.554056	0.400000	0.500000
138500917	650021095	GCF_004340525.1	GCF_000158175.1	62.723419	3455	2919	1518	0.476310	0.400000	0.500000
138500917	698862333	GCF_004340525.1	GCF_000423125.1	66.704215	3455	3963	1898	0.511728	0.400000	0.500000
138500917	915079100	GCF_004340525.1	GCF_000764025.1	70.615515	3455	2919	2011	0.631001	0.400000	0.500000
138500917	53176448	GCF_004340525.1	GCF_001983995.1	65.478198	3455	3974	1665	0.448243	0.400000	0.500000
138500917	237673793	GCF_004340525.1	GCF_002868715.1	66.728539	3455	3617	1964	0.555430	0.400000	0.500000
138500917	83733313	GCF_004340525.1	GCF_003402235.1	66.327745	3455	4446	1840	0.465764	0.400000	0.500000
138500917	138500917	GCF_004340525.1	GCF_004340525.1	100.000000	3455	3455	3452	0.999132	0.400000	0.500000
138500917	764333505	GCF_004340525.1	GCF_009910365.1	62.365526	3455	2818	1417	0.451777	0.400000	0.500000
138500917	521618666	GCF_004340525.1	GCF_014077625.1	66.557864	3455	2965	1634	0.509034	0.400000	0.500000
764333505	793315804	GCF_009910365.1	GCF_000153125.2	62.019027	2818	3880	1511	0.451179	0.400000	0.500000
764333505	650021095	GCF_009910365.1	GCF_000158175.1	61.130000	2818	2919	1305	0.454942	0.400000	0.500000
764333505	698862333	GCF_009910365.1	GCF_000423125.1	63.024924	2818	3963	1635	0.482230	0.400000	0.500000
764333505	915079100	GCF_009910365.1	GCF_000764025.1	62.692420	2818	2919	1438	0.501307	0.400000	0.500000
764333505	53176448	GCF_009910365.1	GCF_001983995.1	62.951457	2818	3974	1476	0.434629	0.400000	0.500000
764333505	237673793	GCF_009910365.1	GCF_002868715.1	62.582570	2818	3617	1572	0.488578	0.400000	0.500000
764333505	83733313	GCF_009910365.1	GCF_003402235.1	63.607823	2818	4446	1617	0.445209	0.400000	0.500000
764333505	138500917	GCF_009910365.1	GCF_004340525.1	62.365526	2818	3455	1417	0.451777	0.400000	0.500000
764333505	764333505	GCF_009910365.1	GCF_009910365.1	100.000000	2818	2818	2792	0.990774	0.400000	0.500000
764333505	521618666	GCF_009910365.1	GCF_014077625.1	63.193035	2818	2965	1407	0.486599	0.400000	0.500000
