ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
145925732	145925732	GCA_000722615.1	GCA_000722615.1	100.000000	5022	5022	5021	0.999801	0.400000	0.500000
145925732	910735998	GCA_000722615.1	GCF_000621665.1	70.435004	5022	3743	2244	0.512037	0.400000	0.500000
145925732	756836800	GCA_000722615.1	GCF_000731315.1	75.687437	5022	6177	3172	0.566479	0.400000	0.500000
145925732	832235038	GCA_000722615.1	GCF_001461695.1	69.849681	5022	6381	2661	0.466719	0.400000	0.500000
145925732	867440956	GCA_000722615.1	GCF_001541315.1	72.099087	5022	5450	2794	0.533613	0.400000	0.500000
145925732	779765094	GCA_000722615.1	GCF_002008365.1	71.027410	5022	7471	2822	0.451773	0.400000	0.500000
145925732	167251647	GCA_000722615.1	GCF_003046475.1	70.474718	5022	4269	2397	0.515983	0.400000	0.500000
145925732	886219131	GCA_000722615.1	GCF_003952725.1	65.441171	5022	4181	2186	0.475062	0.400000	0.500000
145925732	106922457	GCA_000722615.1	GCF_004341885.1	70.083683	5022	6430	2761	0.482187	0.400000	0.500000
145925732	33180477	GCA_000722615.1	GCF_009617585.1	73.618466	5022	5989	2927	0.531650	0.400000	0.500000
145925732	260088956	GCA_000722615.1	GCF_014197145.1	69.549074	5022	4593	2377	0.494436	0.400000	0.500000
910735998	145925732	GCF_000621665.1	GCA_000722615.1	70.435004	3743	5022	2244	0.512037	0.400000	0.500000
910735998	910735998	GCF_000621665.1	GCF_000621665.1	100.000000	3743	3743	3732	0.997061	0.400000	0.500000
910735998	756836800	GCF_000621665.1	GCF_000731315.1	70.518497	3743	6177	2449	0.493750	0.400000	0.500000
910735998	832235038	GCF_000621665.1	GCF_001461695.1	69.760306	3743	6381	2353	0.464836	0.400000	0.500000
910735998	867440956	GCF_000621665.1	GCF_001541315.1	70.979146	3743	5450	2436	0.529968	0.400000	0.500000
910735998	779765094	GCF_000621665.1	GCF_002008365.1	70.630765	3743	7471	2498	0.445515	0.400000	0.500000
910735998	167251647	GCF_000621665.1	GCF_003046475.1	69.392820	3743	4269	2110	0.526710	0.400000	0.500000
910735998	886219131	GCF_000621665.1	GCF_003952725.1	65.394579	3743	4181	1817	0.458607	0.400000	0.500000
910735998	106922457	GCF_000621665.1	GCF_004341885.1	69.796260	3743	6430	2313	0.454733	0.400000	0.500000
910735998	33180477	GCF_000621665.1	GCF_009617585.1	69.934488	3743	5989	2382	0.489519	0.400000	0.500000
910735998	260088956	GCF_000621665.1	GCF_014197145.1	69.751567	3743	4593	2138	0.512956	0.400000	0.500000
756836800	145925732	GCF_000731315.1	GCA_000722615.1	75.687437	6177	5022	3172	0.566479	0.400000	0.500000
756836800	910735998	GCF_000731315.1	GCF_000621665.1	70.518497	6177	3743	2449	0.493750	0.400000	0.500000
756836800	756836800	GCF_000731315.1	GCF_000731315.1	100.000000	6177	6177	6163	0.997734	0.400000	0.500000
756836800	832235038	GCF_000731315.1	GCF_001461695.1	70.010278	6177	6381	3021	0.481128	0.400000	0.500000
756836800	867440956	GCF_000731315.1	GCF_001541315.1	72.059042	6177	5450	3246	0.558356	0.400000	0.500000
756836800	779765094	GCF_000731315.1	GCF_002008365.1	72.750341	6177	7471	3514	0.514947	0.400000	0.500000
756836800	167251647	GCF_000731315.1	GCF_003046475.1	69.814193	6177	4269	2547	0.487651	0.400000	0.500000
756836800	886219131	GCF_000731315.1	GCF_003952725.1	65.034333	6177	4181	2151	0.415331	0.400000	0.500000
756836800	106922457	GCF_000731315.1	GCF_004341885.1	69.790489	6177	6430	2986	0.473705	0.400000	0.500000
756836800	33180477	GCF_000731315.1	GCF_009617585.1	74.696440	6177	5989	3301	0.542660	0.400000	0.500000
756836800	260088956	GCF_000731315.1	GCF_014197145.1	69.443317	6177	4593	2454	0.455710	0.400000	0.500000
832235038	145925732	GCF_001461695.1	GCA_000722615.1	69.849681	6381	5022	2661	0.466719	0.400000	0.500000
832235038	910735998	GCF_001461695.1	GCF_000621665.1	69.760306	6381	3743	2353	0.464836	0.400000	0.500000
832235038	756836800	GCF_001461695.1	GCF_000731315.1	70.010278	6381	6177	3021	0.481128	0.400000	0.500000
832235038	832235038	GCF_001461695.1	GCF_001461695.1	100.000000	6381	6381	6379	0.999687	0.400000	0.500000
832235038	867440956	GCF_001461695.1	GCF_001541315.1	69.897209	6381	5450	2956	0.499704	0.400000	0.500000
832235038	779765094	GCF_001461695.1	GCF_002008365.1	71.464348	6381	7471	3551	0.512706	0.400000	0.500000
832235038	167251647	GCF_001461695.1	GCF_003046475.1	73.531252	6381	4269	2819	0.529390	0.400000	0.500000
832235038	886219131	GCF_001461695.1	GCF_003952725.1	66.206852	6381	4181	2138	0.404848	0.400000	0.500000
832235038	106922457	GCF_001461695.1	GCF_004341885.1	73.577324	6381	6430	3259	0.508782	0.400000	0.500000
832235038	33180477	GCF_001461695.1	GCF_009617585.1	69.018958	6381	5989	2764	0.446888	0.400000	0.500000
832235038	260088956	GCF_001461695.1	GCF_014197145.1	70.164193	6381	4593	2533	0.461637	0.400000	0.500000
867440956	145925732	GCF_001541315.1	GCA_000722615.1	72.099087	5450	5022	2794	0.533613	0.400000	0.500000
867440956	910735998	GCF_001541315.1	GCF_000621665.1	70.979146	5450	3743	2436	0.529968	0.400000	0.500000
867440956	756836800	GCF_001541315.1	GCF_000731315.1	72.059042	5450	6177	3246	0.558356	0.400000	0.500000
867440956	832235038	GCF_001541315.1	GCF_001461695.1	69.897209	5450	6381	2956	0.499704	0.400000	0.500000
867440956	867440956	GCF_001541315.1	GCF_001541315.1	100.000000	5450	5450	5449	0.999817	0.400000	0.500000
867440956	779765094	GCF_001541315.1	GCF_002008365.1	71.274567	5450	7471	3230	0.499961	0.400000	0.500000
867440956	167251647	GCF_001541315.1	GCF_003046475.1	69.913291	5450	4269	2419	0.497788	0.400000	0.500000
867440956	886219131	GCF_001541315.1	GCF_003952725.1	65.217915	5450	4181	2029	0.421348	0.400000	0.500000
867440956	106922457	GCF_001541315.1	GCF_004341885.1	70.133161	5450	6430	3002	0.505387	0.400000	0.500000
867440956	33180477	GCF_001541315.1	GCF_009617585.1	71.825424	5450	5989	3182	0.556342	0.400000	0.500000
867440956	260088956	GCF_001541315.1	GCF_014197145.1	69.348790	5450	4593	2356	0.469183	0.400000	0.500000
779765094	145925732	GCF_002008365.1	GCA_000722615.1	71.027410	7471	5022	2822	0.451773	0.400000	0.500000
779765094	910735998	GCF_002008365.1	GCF_000621665.1	70.630765	7471	3743	2498	0.445515	0.400000	0.500000
779765094	756836800	GCF_002008365.1	GCF_000731315.1	72.750341	7471	6177	3514	0.514947	0.400000	0.500000
779765094	832235038	GCF_002008365.1	GCF_001461695.1	71.464348	7471	6381	3551	0.512706	0.400000	0.500000
779765094	867440956	GCF_002008365.1	GCF_001541315.1	71.274567	7471	5450	3230	0.499961	0.400000	0.500000
779765094	779765094	GCF_002008365.1	GCF_002008365.1	100.000000	7471	7471	7466	0.999331	0.400000	0.500000
779765094	167251647	GCF_002008365.1	GCF_003046475.1	70.923661	7471	4269	2707	0.461158	0.400000	0.500000
779765094	886219131	GCF_002008365.1	GCF_003952725.1	65.269581	7471	4181	2122	0.364229	0.400000	0.500000
779765094	106922457	GCF_002008365.1	GCF_004341885.1	70.769247	7471	6430	3268	0.470182	0.400000	0.500000
779765094	33180477	GCF_002008365.1	GCF_009617585.1	70.641218	7471	5989	3177	0.472065	0.400000	0.500000
779765094	260088956	GCF_002008365.1	GCF_014197145.1	70.126229	7471	4593	2604	0.431698	0.400000	0.500000
167251647	145925732	GCF_003046475.1	GCA_000722615.1	70.474718	4269	5022	2397	0.515983	0.400000	0.500000
167251647	910735998	GCF_003046475.1	GCF_000621665.1	69.392820	4269	3743	2110	0.526710	0.400000	0.500000
167251647	756836800	GCF_003046475.1	GCF_000731315.1	69.814193	4269	6177	2547	0.487651	0.400000	0.500000
167251647	832235038	GCF_003046475.1	GCF_001461695.1	73.531252	4269	6381	2819	0.529390	0.400000	0.500000
167251647	867440956	GCF_003046475.1	GCF_001541315.1	69.913291	4269	5450	2419	0.497788	0.400000	0.500000
167251647	779765094	GCF_003046475.1	GCF_002008365.1	70.923661	4269	7471	2707	0.461158	0.400000	0.500000
167251647	167251647	GCF_003046475.1	GCF_003046475.1	100.000000	4269	4269	4260	0.997892	0.400000	0.500000
167251647	886219131	GCF_003046475.1	GCF_003952725.1	66.555888	4269	4181	2004	0.474320	0.400000	0.500000
167251647	106922457	GCF_003046475.1	GCF_004341885.1	77.205048	4269	6430	2922	0.546219	0.400000	0.500000
167251647	33180477	GCF_003046475.1	GCF_009617585.1	68.906091	4269	5989	2430	0.473777	0.400000	0.500000
167251647	260088956	GCF_003046475.1	GCF_014197145.1	70.285756	4269	4593	2387	0.538705	0.400000	0.500000
886219131	145925732	GCF_003952725.1	GCA_000722615.1	65.441171	4181	5022	2186	0.475062	0.400000	0.500000
886219131	910735998	GCF_003952725.1	GCF_000621665.1	65.394579	4181	3743	1817	0.458607	0.400000	0.500000
886219131	756836800	GCF_003952725.1	GCF_000731315.1	65.034333	4181	6177	2151	0.415331	0.400000	0.500000
886219131	832235038	GCF_003952725.1	GCF_001461695.1	66.206852	4181	6381	2138	0.404848	0.400000	0.500000
886219131	867440956	GCF_003952725.1	GCF_001541315.1	65.217915	4181	5450	2029	0.421348	0.400000	0.500000
886219131	779765094	GCF_003952725.1	GCF_002008365.1	65.269581	4181	7471	2122	0.364229	0.400000	0.500000
886219131	167251647	GCF_003952725.1	GCF_003046475.1	66.555888	4181	4269	2004	0.474320	0.400000	0.500000
886219131	886219131	GCF_003952725.1	GCF_003952725.1	100.000000	4181	4181	4177	0.999043	0.400000	0.500000
886219131	106922457	GCF_003952725.1	GCF_004341885.1	66.364914	4181	6430	2206	0.415795	0.400000	0.500000
886219131	33180477	GCF_003952725.1	GCF_009617585.1	64.740459	4181	5989	2028	0.398820	0.400000	0.500000
886219131	260088956	GCF_003952725.1	GCF_014197145.1	65.668372	4181	4593	1984	0.452245	0.400000	0.500000
106922457	145925732	GCF_004341885.1	GCA_000722615.1	70.083683	6430	5022	2761	0.482187	0.400000	0.500000
106922457	910735998	GCF_004341885.1	GCF_000621665.1	69.796260	6430	3743	2313	0.454733	0.400000	0.500000
106922457	756836800	GCF_004341885.1	GCF_000731315.1	69.790489	6430	6177	2986	0.473705	0.400000	0.500000
106922457	832235038	GCF_004341885.1	GCF_001461695.1	73.577324	6430	6381	3259	0.508782	0.400000	0.500000
106922457	867440956	GCF_004341885.1	GCF_001541315.1	70.133161	6430	5450	3002	0.505387	0.400000	0.500000
106922457	779765094	GCF_004341885.1	GCF_002008365.1	70.769247	6430	7471	3268	0.470182	0.400000	0.500000
106922457	167251647	GCF_004341885.1	GCF_003046475.1	77.205048	6430	4269	2922	0.546219	0.400000	0.500000
106922457	886219131	GCF_004341885.1	GCF_003952725.1	66.364914	6430	4181	2206	0.415795	0.400000	0.500000
106922457	106922457	GCF_004341885.1	GCF_004341885.1	100.000000	6430	6430	6422	0.998756	0.400000	0.500000
106922457	33180477	GCF_004341885.1	GCF_009617585.1	69.261565	6430	5989	2875	0.463000	0.400000	0.500000
106922457	260088956	GCF_004341885.1	GCF_014197145.1	70.191067	6430	4593	2737	0.496598	0.400000	0.500000
33180477	145925732	GCF_009617585.1	GCA_000722615.1	73.618466	5989	5022	2927	0.531650	0.400000	0.500000
33180477	910735998	GCF_009617585.1	GCF_000621665.1	69.934488	5989	3743	2382	0.489519	0.400000	0.500000
33180477	756836800	GCF_009617585.1	GCF_000731315.1	74.696440	5989	6177	3301	0.542660	0.400000	0.500000
33180477	832235038	GCF_009617585.1	GCF_001461695.1	69.018958	5989	6381	2764	0.446888	0.400000	0.500000
33180477	867440956	GCF_009617585.1	GCF_001541315.1	71.825424	5989	5450	3182	0.556342	0.400000	0.500000
33180477	779765094	GCF_009617585.1	GCF_002008365.1	70.641218	5989	7471	3177	0.472065	0.400000	0.500000
33180477	167251647	GCF_009617585.1	GCF_003046475.1	68.906091	5989	4269	2430	0.473777	0.400000	0.500000
