ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
928485790	928485790	GCF_000022565.1	GCF_000022565.1	100.000000	3343	3343	3318	0.992522	0.400000	0.500000
928485790	823285252	GCF_000022565.1	GCF_000265425.1	59.539662	3343	4354	1567	0.407172	0.400000	0.500000
928485790	1065576188	GCF_000022565.1	GCF_000688455.1	66.760268	3343	3133	1904	0.588017	0.400000	0.500000
928485790	103489503	GCF_000022565.1	GCF_001006305.1	66.455306	3343	5294	2111	0.488827	0.400000	0.500000
928485790	838160347	GCF_000022565.1	GCF_001449115.1	61.923850	3343	4386	1782	0.461120	0.400000	0.500000
928485790	290444917	GCF_000022565.1	GCF_003330725.1	64.047194	3343	6669	1960	0.391530	0.400000	0.500000
928485790	792971425	GCF_000022565.1	GCF_003428625.2	67.671187	3343	4015	2039	0.554227	0.400000	0.500000
928485790	48361569	GCF_000022565.1	GCF_004217555.1	61.153144	3343	6406	1797	0.368653	0.400000	0.500000
928485790	766495197	GCF_000022565.1	GCF_004339725.1	66.668551	3343	3511	2070	0.604027	0.400000	0.500000
928485790	375343291	GCF_000022565.1	GCF_014274465.1	66.136206	3343	5389	2048	0.469079	0.400000	0.500000
928485790	214764540	GCF_000022565.1	GCF_900108185.1	59.397727	3343	4494	1694	0.432308	0.400000	0.500000
823285252	928485790	GCF_000265425.1	GCF_000022565.1	59.539662	4354	3343	1567	0.407172	0.400000	0.500000
823285252	823285252	GCF_000265425.1	GCF_000265425.1	100.000000	4354	4354	4036	0.926964	0.400000	0.500000
823285252	1065576188	GCF_000265425.1	GCF_000688455.1	59.998947	4354	3133	1615	0.431414	0.400000	0.500000
823285252	103489503	GCF_000265425.1	GCF_001006305.1	59.847666	4354	5294	1907	0.395315	0.400000	0.500000
823285252	838160347	GCF_000265425.1	GCF_001449115.1	58.701971	4354	4386	1674	0.383066	0.400000	0.500000
823285252	290444917	GCF_000265425.1	GCF_003330725.1	59.795566	4354	6669	1917	0.347818	0.400000	0.500000
823285252	792971425	GCF_000265425.1	GCF_003428625.2	59.788533	4354	4015	1731	0.413669	0.400000	0.500000
823285252	48361569	GCF_000265425.1	GCF_004217555.1	62.904602	4354	6406	2184	0.405948	0.400000	0.500000
823285252	766495197	GCF_000265425.1	GCF_004339725.1	60.151745	4354	3511	1748	0.444501	0.400000	0.500000
823285252	375343291	GCF_000265425.1	GCF_014274465.1	59.772341	4354	5389	1871	0.384071	0.400000	0.500000
823285252	214764540	GCF_000265425.1	GCF_900108185.1	60.767866	4354	4494	2029	0.458635	0.400000	0.500000
1065576188	928485790	GCF_000688455.1	GCF_000022565.1	66.760268	3133	3343	1904	0.588017	0.400000	0.500000
1065576188	823285252	GCF_000688455.1	GCF_000265425.1	59.998947	3133	4354	1615	0.431414	0.400000	0.500000
1065576188	1065576188	GCF_000688455.1	GCF_000688455.1	100.000000	3133	3133	3126	0.997766	0.400000	0.500000
1065576188	103489503	GCF_000688455.1	GCF_001006305.1	68.959699	3133	5294	2129	0.505281	0.400000	0.500000
1065576188	838160347	GCF_000688455.1	GCF_001449115.1	62.563047	3133	4386	1851	0.492353	0.400000	0.500000
1065576188	290444917	GCF_000688455.1	GCF_003330725.1	66.620944	3133	6669	2003	0.408692	0.400000	0.500000
1065576188	792971425	GCF_000688455.1	GCF_003428625.2	69.483815	3133	4015	2076	0.580862	0.400000	0.500000
1065576188	48361569	GCF_000688455.1	GCF_004217555.1	62.203415	3133	6406	1889	0.396058	0.400000	0.500000
1065576188	766495197	GCF_000688455.1	GCF_004339725.1	69.807876	3133	3511	2114	0.636364	0.400000	0.500000
1065576188	375343291	GCF_000688455.1	GCF_014274465.1	75.553377	3133	5389	2295	0.538606	0.400000	0.500000
1065576188	214764540	GCF_000688455.1	GCF_900108185.1	59.597444	3133	4494	1702	0.446309	0.400000	0.500000
103489503	928485790	GCF_001006305.1	GCF_000022565.1	66.455306	5294	3343	2111	0.488827	0.400000	0.500000
103489503	823285252	GCF_001006305.1	GCF_000265425.1	59.847666	5294	4354	1907	0.395315	0.400000	0.500000
103489503	1065576188	GCF_001006305.1	GCF_000688455.1	68.959699	5294	3133	2129	0.505281	0.400000	0.500000
103489503	103489503	GCF_001006305.1	GCF_001006305.1	100.000000	5294	5294	5289	0.999056	0.400000	0.500000
103489503	838160347	GCF_001006305.1	GCF_001449115.1	62.607278	5294	4386	2274	0.469835	0.400000	0.500000
103489503	290444917	GCF_001006305.1	GCF_003330725.1	66.423181	5294	6669	2707	0.452562	0.400000	0.500000
103489503	792971425	GCF_001006305.1	GCF_003428625.2	69.988420	5294	4015	2526	0.542701	0.400000	0.500000
103489503	48361569	GCF_001006305.1	GCF_004217555.1	62.510203	5294	6406	2411	0.412137	0.400000	0.500000
103489503	766495197	GCF_001006305.1	GCF_004339725.1	68.922928	5294	3511	2268	0.515162	0.400000	0.500000
103489503	375343291	GCF_001006305.1	GCF_014274465.1	69.220368	5294	5389	2693	0.504165	0.400000	0.500000
103489503	214764540	GCF_001006305.1	GCF_900108185.1	59.905394	5294	4494	2104	0.429914	0.400000	0.500000
838160347	928485790	GCF_001449115.1	GCF_000022565.1	61.923850	4386	3343	1782	0.461120	0.400000	0.500000
838160347	823285252	GCF_001449115.1	GCF_000265425.1	58.701971	4386	4354	1674	0.383066	0.400000	0.500000
838160347	1065576188	GCF_001449115.1	GCF_000688455.1	62.563047	4386	3133	1851	0.492353	0.400000	0.500000
838160347	103489503	GCF_001449115.1	GCF_001006305.1	62.607278	4386	5294	2274	0.469835	0.400000	0.500000
838160347	838160347	GCF_001449115.1	GCF_001449115.1	100.000000	4386	4386	4385	0.999772	0.400000	0.500000
838160347	290444917	GCF_001449115.1	GCF_003330725.1	62.178739	4386	6669	2173	0.393125	0.400000	0.500000
838160347	792971425	GCF_001449115.1	GCF_003428625.2	62.551679	4386	4015	2084	0.496131	0.400000	0.500000
838160347	48361569	GCF_001449115.1	GCF_004217555.1	60.377338	4386	6406	2021	0.374537	0.400000	0.500000
838160347	766495197	GCF_001449115.1	GCF_004339725.1	62.552406	4386	3511	1891	0.478916	0.400000	0.500000
838160347	375343291	GCF_001449115.1	GCF_014274465.1	62.447768	4386	5389	2263	0.463018	0.400000	0.500000
838160347	214764540	GCF_001449115.1	GCF_900108185.1	59.226354	4386	4494	1846	0.415766	0.400000	0.500000
290444917	928485790	GCF_003330725.1	GCF_000022565.1	64.047194	6669	3343	1960	0.391530	0.400000	0.500000
290444917	823285252	GCF_003330725.1	GCF_000265425.1	59.795566	6669	4354	1917	0.347818	0.400000	0.500000
290444917	1065576188	GCF_003330725.1	GCF_000688455.1	66.620944	6669	3133	2003	0.408692	0.400000	0.500000
290444917	103489503	GCF_003330725.1	GCF_001006305.1	66.423181	6669	5294	2707	0.452562	0.400000	0.500000
290444917	838160347	GCF_003330725.1	GCF_001449115.1	62.178739	6669	4386	2173	0.393125	0.400000	0.500000
290444917	290444917	GCF_003330725.1	GCF_003330725.1	100.000000	6669	6669	6616	0.992053	0.400000	0.500000
290444917	792971425	GCF_003330725.1	GCF_003428625.2	66.085022	6669	4015	2290	0.428678	0.400000	0.500000
290444917	48361569	GCF_003330725.1	GCF_004217555.1	62.343913	6669	6406	2382	0.364359	0.400000	0.500000
290444917	766495197	GCF_003330725.1	GCF_004339725.1	67.032736	6669	3511	2178	0.427898	0.400000	0.500000
290444917	375343291	GCF_003330725.1	GCF_014274465.1	66.545600	6669	5389	2557	0.424117	0.400000	0.500000
290444917	214764540	GCF_003330725.1	GCF_900108185.1	59.867515	6669	4494	1984	0.355460	0.400000	0.500000
792971425	928485790	GCF_003428625.2	GCF_000022565.1	67.671187	4015	3343	2039	0.554227	0.400000	0.500000
792971425	823285252	GCF_003428625.2	GCF_000265425.1	59.788533	4015	4354	1731	0.413669	0.400000	0.500000
792971425	1065576188	GCF_003428625.2	GCF_000688455.1	69.483815	4015	3133	2076	0.580862	0.400000	0.500000
792971425	103489503	GCF_003428625.2	GCF_001006305.1	69.988420	4015	5294	2526	0.542701	0.400000	0.500000
792971425	838160347	GCF_003428625.2	GCF_001449115.1	62.551679	4015	4386	2084	0.496131	0.400000	0.500000
792971425	290444917	GCF_003428625.2	GCF_003330725.1	66.085022	4015	6669	2290	0.428678	0.400000	0.500000
792971425	792971425	GCF_003428625.2	GCF_003428625.2	100.000000	4015	4015	4013	0.999502	0.400000	0.500000
792971425	48361569	GCF_003428625.2	GCF_004217555.1	62.032033	4015	6406	2154	0.413396	0.400000	0.500000
792971425	766495197	GCF_003428625.2	GCF_004339725.1	69.293803	4015	3511	2138	0.568164	0.400000	0.500000
792971425	375343291	GCF_003428625.2	GCF_014274465.1	69.523549	4015	5389	2499	0.531476	0.400000	0.500000
792971425	214764540	GCF_003428625.2	GCF_900108185.1	59.745703	4015	4494	1885	0.443060	0.400000	0.500000
48361569	928485790	GCF_004217555.1	GCF_000022565.1	61.153144	6406	3343	1797	0.368653	0.400000	0.500000
48361569	823285252	GCF_004217555.1	GCF_000265425.1	62.904602	6406	4354	2184	0.405948	0.400000	0.500000
48361569	1065576188	GCF_004217555.1	GCF_000688455.1	62.203415	6406	3133	1889	0.396058	0.400000	0.500000
48361569	103489503	GCF_004217555.1	GCF_001006305.1	62.510203	6406	5294	2411	0.412137	0.400000	0.500000
48361569	838160347	GCF_004217555.1	GCF_001449115.1	60.377338	6406	4386	2021	0.374537	0.400000	0.500000
48361569	290444917	GCF_004217555.1	GCF_003330725.1	62.343913	6406	6669	2382	0.364359	0.400000	0.500000
48361569	792971425	GCF_004217555.1	GCF_003428625.2	62.032033	6406	4015	2154	0.413396	0.400000	0.500000
48361569	48361569	GCF_004217555.1	GCF_004217555.1	100.000000	6406	6406	6326	0.987512	0.400000	0.500000
48361569	766495197	GCF_004217555.1	GCF_004339725.1	62.324901	6406	3511	2024	0.408188	0.400000	0.500000
48361569	375343291	GCF_004217555.1	GCF_014274465.1	62.896628	6406	5389	2476	0.419839	0.400000	0.500000
48361569	214764540	GCF_004217555.1	GCF_900108185.1	62.902489	6406	4494	2190	0.401835	0.400000	0.500000
766495197	928485790	GCF_004339725.1	GCF_000022565.1	66.668551	3511	3343	2070	0.604027	0.400000	0.500000
766495197	823285252	GCF_004339725.1	GCF_000265425.1	60.151745	3511	4354	1748	0.444501	0.400000	0.500000
766495197	1065576188	GCF_004339725.1	GCF_000688455.1	69.807876	3511	3133	2114	0.636364	0.400000	0.500000
766495197	103489503	GCF_004339725.1	GCF_001006305.1	68.922928	3511	5294	2268	0.515162	0.400000	0.500000
766495197	838160347	GCF_004339725.1	GCF_001449115.1	62.552406	3511	4386	1891	0.478916	0.400000	0.500000
766495197	290444917	GCF_004339725.1	GCF_003330725.1	67.032736	3511	6669	2178	0.427898	0.400000	0.500000
766495197	792971425	GCF_004339725.1	GCF_003428625.2	69.293803	3511	4015	2138	0.568164	0.400000	0.500000
