ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
718176519	718176519	GCF_000013085.1	GCF_000013085.1	100.000000	3908	3908	3904	0.998976	0.400000	0.500000
718176519	651591800	GCF_000013085.1	GCF_000284415.1	67.771831	3908	3579	1988	0.531054	0.400000	0.500000
718176519	1010157224	GCF_000013085.1	GCF_000381985.1	60.965443	3908	3850	1703	0.439031	0.400000	0.500000
718176519	707679968	GCF_000013085.1	GCF_001611975.1	59.998333	3908	2265	1200	0.388790	0.400000	0.500000
718176519	518252575	GCF_000013085.1	GCF_014861485.1	62.908346	3908	2048	1282	0.430490	0.400000	0.500000
718176519	11587478	GCF_000013085.1	GCF_900100455.1	60.725092	3908	3099	1636	0.466962	0.400000	0.500000
718176519	21689069	GCF_000013085.1	GCF_900101965.1	62.155713	3908	3721	1733	0.454319	0.400000	0.500000
651591800	718176519	GCF_000284415.1	GCF_000013085.1	67.771831	3579	3908	1988	0.531054	0.400000	0.500000
651591800	651591800	GCF_000284415.1	GCF_000284415.1	100.000000	3579	3579	3567	0.996647	0.400000	0.500000
651591800	1010157224	GCF_000284415.1	GCF_000381985.1	60.768737	3579	3850	1481	0.398708	0.400000	0.500000
651591800	707679968	GCF_000284415.1	GCF_001611975.1	59.930313	3579	2265	1120	0.383299	0.400000	0.500000
651591800	518252575	GCF_000284415.1	GCF_014861485.1	65.093984	3579	2048	1280	0.454949	0.400000	0.500000
651591800	11587478	GCF_000284415.1	GCF_900100455.1	61.342245	3579	3099	1541	0.461515	0.400000	0.500000
651591800	21689069	GCF_000284415.1	GCF_900101965.1	62.309747	3579	3721	1657	0.453973	0.400000	0.500000
1010157224	718176519	GCF_000381985.1	GCF_000013085.1	60.965443	3850	3908	1703	0.439031	0.400000	0.500000
1010157224	651591800	GCF_000381985.1	GCF_000284415.1	60.768737	3850	3579	1481	0.398708	0.400000	0.500000
1010157224	1010157224	GCF_000381985.1	GCF_000381985.1	100.000000	3850	3850	3837	0.996623	0.400000	0.500000
1010157224	707679968	GCF_000381985.1	GCF_001611975.1	66.060196	3850	2265	1476	0.482747	0.400000	0.500000
1010157224	518252575	GCF_000381985.1	GCF_014861485.1	59.653740	3850	2048	1016	0.344524	0.400000	0.500000
1010157224	11587478	GCF_000381985.1	GCF_900100455.1	60.977427	3850	3099	1535	0.441790	0.400000	0.500000
1010157224	21689069	GCF_000381985.1	GCF_900101965.1	60.927675	3850	3721	1514	0.399947	0.400000	0.500000
707679968	718176519	GCF_001611975.1	GCF_000013085.1	59.998333	2265	3908	1200	0.388790	0.400000	0.500000
707679968	651591800	GCF_001611975.1	GCF_000284415.1	59.930313	2265	3579	1120	0.383299	0.400000	0.500000
707679968	1010157224	GCF_001611975.1	GCF_000381985.1	66.060196	2265	3850	1476	0.482747	0.400000	0.500000
707679968	707679968	GCF_001611975.1	GCF_001611975.1	100.000000	2265	2265	2217	0.978808	0.400000	0.500000
707679968	518252575	GCF_001611975.1	GCF_014861485.1	58.594955	2265	2048	882	0.408996	0.400000	0.500000
707679968	11587478	GCF_001611975.1	GCF_900100455.1	59.798025	2265	3099	1139	0.424683	0.400000	0.500000
707679968	21689069	GCF_001611975.1	GCF_900101965.1	59.914380	2265	3721	1137	0.379886	0.400000	0.500000
518252575	718176519	GCF_014861485.1	GCF_000013085.1	62.908346	2048	3908	1282	0.430490	0.400000	0.500000
518252575	651591800	GCF_014861485.1	GCF_000284415.1	65.093984	2048	3579	1280	0.454949	0.400000	0.500000
518252575	1010157224	GCF_014861485.1	GCF_000381985.1	59.653740	2048	3850	1016	0.344524	0.400000	0.500000
518252575	707679968	GCF_014861485.1	GCF_001611975.1	58.594955	2048	2265	882	0.408996	0.400000	0.500000
518252575	518252575	GCF_014861485.1	GCF_014861485.1	100.000000	2048	2048	2046	0.999023	0.400000	0.500000
518252575	11587478	GCF_014861485.1	GCF_900100455.1	59.507123	2048	3099	1081	0.420051	0.400000	0.500000
518252575	21689069	GCF_014861485.1	GCF_900101965.1	60.248726	2048	3721	1138	0.394522	0.400000	0.500000
11587478	718176519	GCF_900100455.1	GCF_000013085.1	60.725092	3099	3908	1636	0.466962	0.400000	0.500000
11587478	651591800	GCF_900100455.1	GCF_000284415.1	61.342245	3099	3579	1541	0.461515	0.400000	0.500000
11587478	1010157224	GCF_900100455.1	GCF_000381985.1	60.977427	3099	3850	1535	0.441790	0.400000	0.500000
11587478	707679968	GCF_900100455.1	GCF_001611975.1	59.798025	3099	2265	1139	0.424683	0.400000	0.500000
11587478	518252575	GCF_900100455.1	GCF_014861485.1	59.507123	3099	2048	1081	0.420051	0.400000	0.500000
11587478	11587478	GCF_900100455.1	GCF_900100455.1	100.000000	3099	3099	3091	0.997419	0.400000	0.500000
11587478	21689069	GCF_900100455.1	GCF_900101965.1	62.570812	3099	3721	1910	0.560117	0.400000	0.500000
21689069	718176519	GCF_900101965.1	GCF_000013085.1	62.155713	3721	3908	1733	0.454319	0.400000	0.500000
21689069	651591800	GCF_900101965.1	GCF_000284415.1	62.309747	3721	3579	1657	0.453973	0.400000	0.500000
21689069	1010157224	GCF_900101965.1	GCF_000381985.1	60.927675	3721	3850	1514	0.399947	0.400000	0.500000
21689069	707679968	GCF_900101965.1	GCF_001611975.1	59.914380	3721	2265	1137	0.379886	0.400000	0.500000
