POCP	GCF_900110675.1.faa	GCF_900100125.1.faa	GCF_009659375.1.faa	GCF_003546865.1.faa	GCF_001552295.1.faa	GCF_001543285.1.faa	GCF_000518205.1.faa	GCF_000428865.1.faa	GCF_000301055.1.faa	GCF_000301035.1.faa	GCF_000160075.2.faa
GCF_900110675.1.faa	100	~	~	~	~	~	~	~	~	~	~
GCF_900100125.1.faa	49.77973568281938	100	~	~	~	~	~	~	~	~	~
GCF_009659375.1.faa	48.52523487000219	49.562092971030765	100	~	~	~	~	~	~	~	~
GCF_003546865.1.faa	49.95287464655985	52.06310679611651	53.10957551826259	100	~	~	~	~	~	~	~
GCF_001552295.1.faa	51.671274189494845	52.55512321660182	54.229166666666664	50.3693754197448	100	~	~	~	~	~	~
GCF_001543285.1.faa	40.03604531410917	43.19148936170213	46.58873538788523	43.9615736505032	43.04845385926467	100	~	~	~	~	~
GCF_000518205.1.faa	51.16822429906542	53.59442060085837	53.456023967472724	57.16589861751152	48.56441717791411	43.44221105527638	100	~	~	~	~
GCF_000428865.1.faa	55.67176186645213	50.374479889043	48.61538461538461	47.759070429215086	53.87145748987854	40.57557687321753	53.307189542483655	100	~	~	~
GCF_000301055.1.faa	50.20011435105774	50.3556609365738	45.72817781893957	47.616658304064224	49.69094329481322	38.361831218974075	52.89371174179187	49.23653125900317	100	~	~
GCF_000301035.1.faa	50.86399108138239	48.03695150115473	44.79473803583579	46.95780176643768	49.068485961689845	38.24004305705059	51.11292073832791	50.3510249929795	57.267267267267265	100	~
GCF_000160075.2.faa	45.91617409994627	47.77654252362424	47.67774598283073	43.04038004750594	51.28010139416983	38.285714285714285	47.302252488213725	47.95669824086603	45.17898383371824	45.55430500844119	100
