ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
664954531	664954531	GCF_000222485.1	GCF_000222485.1	100.000000	5007	5007	4987	0.996006	0.400000	0.500000
664954531	819740123	GCF_000222485.1	GCF_000265075.1	64.535837	5007	3993	1518	0.337333	0.400000	0.500000
664954531	823225670	GCF_000222485.1	GCF_000265405.1	66.053897	5007	3784	1976	0.449551	0.400000	0.500000
664954531	269218220	GCF_000222485.1	GCF_000295935.2	65.396220	5007	4278	2103	0.452989	0.400000	0.500000
664954531	348819771	GCF_000222485.1	GCF_000298295.1	65.629717	5007	4414	2088	0.443265	0.400000	0.500000
664954531	836951177	GCF_000222485.1	GCF_000330725.2	64.780573	5007	4141	2059	0.450153	0.400000	0.500000
664954531	173328034	GCF_000222485.1	GCF_000373245.1	64.952120	5007	4123	2193	0.480394	0.400000	0.500000
664954531	787901762	GCF_000222485.1	GCF_000390185.1	67.037722	5007	4393	2708	0.576170	0.400000	0.500000
664954531	195510386	GCF_000222485.1	GCF_002150505.1	63.803049	5007	4180	2214	0.481985	0.400000	0.500000
664954531	487910851	GCF_000222485.1	GCF_003003005.1	65.055187	5007	4171	2169	0.472652	0.400000	0.500000
664954531	794900795	GCF_000222485.1	GCF_003347495.1	67.329243	5007	5228	2852	0.557303	0.400000	0.500000
664954531	465805153	GCF_000222485.1	GCF_014652135.1	65.038191	5007	3896	1918	0.430866	0.400000	0.500000
664954531	1008911881	GCF_000222485.1	GCF_015354735.1	65.528575	5007	4742	2196	0.450508	0.400000	0.500000
664954531	316665526	GCF_000222485.1	GCF_016464625.1	62.459529	5007	2878	1506	0.381991	0.400000	0.500000
664954531	116548898	GCF_000222485.1	GCF_018500185.1	65.784064	5007	3648	1917	0.442981	0.400000	0.500000
664954531	699950239	GCF_000222485.1	GCF_019343195.1	65.136406	5007	4520	2126	0.446310	0.400000	0.500000
664954531	1005046760	GCF_000222485.1	GCF_900176595.1	65.068135	5007	5087	2316	0.458886	0.400000	0.500000
819740123	664954531	GCF_000265075.1	GCF_000222485.1	64.535837	3993	5007	1518	0.337333	0.400000	0.500000
819740123	819740123	GCF_000265075.1	GCF_000265075.1	100.000000	3993	3993	3991	0.999499	0.400000	0.500000
819740123	823225670	GCF_000265075.1	GCF_000265405.1	68.109526	3993	3784	1795	0.461618	0.400000	0.500000
819740123	269218220	GCF_000265075.1	GCF_000295935.2	67.937195	3993	4278	1886	0.456051	0.400000	0.500000
819740123	348819771	GCF_000265075.1	GCF_000298295.1	68.241231	3993	4414	1933	0.459855	0.400000	0.500000
819740123	836951177	GCF_000265075.1	GCF_000330725.2	66.934337	3993	4141	1711	0.420703	0.400000	0.500000
819740123	173328034	GCF_000265075.1	GCF_000373245.1	65.454391	3993	4123	1526	0.376047	0.400000	0.500000
819740123	787901762	GCF_000265075.1	GCF_000390185.1	65.190572	3993	4393	1660	0.395898	0.400000	0.500000
819740123	195510386	GCF_000265075.1	GCF_002150505.1	65.137903	3993	4180	1612	0.394470	0.400000	0.500000
819740123	487910851	GCF_000265075.1	GCF_003003005.1	67.592929	3993	4171	1895	0.464233	0.400000	0.500000
819740123	794900795	GCF_000265075.1	GCF_003347495.1	64.646941	3993	5228	1700	0.368724	0.400000	0.500000
819740123	465805153	GCF_000265075.1	GCF_014652135.1	67.984487	3993	3896	1950	0.494359	0.400000	0.500000
819740123	1008911881	GCF_000265075.1	GCF_015354735.1	66.230918	3993	4742	1808	0.413967	0.400000	0.500000
819740123	316665526	GCF_000265075.1	GCF_016464625.1	62.974678	3993	2878	1398	0.406928	0.400000	0.500000
819740123	116548898	GCF_000265075.1	GCF_018500185.1	66.130612	3993	3648	1666	0.436069	0.400000	0.500000
819740123	699950239	GCF_000265075.1	GCF_019343195.1	67.893502	3993	4520	1916	0.450135	0.400000	0.500000
819740123	1005046760	GCF_000265075.1	GCF_900176595.1	67.277402	3993	5087	1832	0.403524	0.400000	0.500000
823225670	664954531	GCF_000265405.1	GCF_000222485.1	66.053897	3784	5007	1976	0.449551	0.400000	0.500000
823225670	819740123	GCF_000265405.1	GCF_000265075.1	68.109526	3784	3993	1795	0.461618	0.400000	0.500000
823225670	823225670	GCF_000265405.1	GCF_000265405.1	100.000000	3784	3784	3712	0.980973	0.400000	0.500000
823225670	269218220	GCF_000265405.1	GCF_000295935.2	73.243935	3784	4278	2498	0.619697	0.400000	0.500000
823225670	348819771	GCF_000265405.1	GCF_000298295.1	72.873913	3784	4414	2369	0.577946	0.400000	0.500000
823225670	836951177	GCF_000265405.1	GCF_000330725.2	71.012180	3784	4141	2229	0.562524	0.400000	0.500000
823225670	173328034	GCF_000265405.1	GCF_000373245.1	67.826265	3784	4123	1936	0.489693	0.400000	0.500000
823225670	787901762	GCF_000265405.1	GCF_000390185.1	66.867546	3784	4393	2066	0.505320	0.400000	0.500000
823225670	195510386	GCF_000265405.1	GCF_002150505.1	67.310394	3784	4180	2107	0.529131	0.400000	0.500000
823225670	487910851	GCF_000265405.1	GCF_003003005.1	72.669204	3784	4171	2424	0.609428	0.400000	0.500000
823225670	794900795	GCF_000265405.1	GCF_003347495.1	66.474535	3784	5228	2097	0.465379	0.400000	0.500000
823225670	465805153	GCF_000265405.1	GCF_014652135.1	71.777613	3784	3896	2363	0.615365	0.400000	0.500000
823225670	1008911881	GCF_000265405.1	GCF_015354735.1	70.033547	3784	4742	2264	0.531081	0.400000	0.500000
823225670	316665526	GCF_000265405.1	GCF_016464625.1	64.116159	3784	2878	1739	0.522065	0.400000	0.500000
823225670	116548898	GCF_000265405.1	GCF_018500185.1	68.881110	3784	3648	2099	0.564855	0.400000	0.500000
823225670	699950239	GCF_000265405.1	GCF_019343195.1	72.911286	3784	4520	2441	0.587909	0.400000	0.500000
823225670	1005046760	GCF_000265405.1	GCF_900176595.1	73.664602	3784	5087	2462	0.555067	0.400000	0.500000
269218220	664954531	GCF_000295935.2	GCF_000222485.1	65.396220	4278	5007	2103	0.452989	0.400000	0.500000
269218220	819740123	GCF_000295935.2	GCF_000265075.1	67.937195	4278	3993	1886	0.456051	0.400000	0.500000
269218220	823225670	GCF_000295935.2	GCF_000265405.1	73.243935	4278	3784	2498	0.619697	0.400000	0.500000
269218220	269218220	GCF_000295935.2	GCF_000295935.2	100.000000	4278	4278	4274	0.999065	0.400000	0.500000
269218220	348819771	GCF_000295935.2	GCF_000298295.1	75.097360	4278	4414	2803	0.644961	0.400000	0.500000
269218220	836951177	GCF_000295935.2	GCF_000330725.2	71.523106	4278	4141	2601	0.617888	0.400000	0.500000
269218220	173328034	GCF_000295935.2	GCF_000373245.1	67.061142	4278	4123	2006	0.477562	0.400000	0.500000
269218220	787901762	GCF_000295935.2	GCF_000390185.1	66.614703	4278	4393	2309	0.532580	0.400000	0.500000
269218220	195510386	GCF_000295935.2	GCF_002150505.1	66.361232	4278	4180	2297	0.543154	0.400000	0.500000
269218220	487910851	GCF_000295935.2	GCF_003003005.1	81.645597	4278	4171	3168	0.749911	0.400000	0.500000
269218220	794900795	GCF_000295935.2	GCF_003347495.1	66.011470	4278	5228	2463	0.518199	0.400000	0.500000
269218220	465805153	GCF_000295935.2	GCF_014652135.1	72.496721	4278	3896	2577	0.630536	0.400000	0.500000
269218220	1008911881	GCF_000295935.2	GCF_015354735.1	69.099169	4278	4742	2707	0.600222	0.400000	0.500000
269218220	316665526	GCF_000295935.2	GCF_016464625.1	63.910123	4278	2878	1714	0.479039	0.400000	0.500000
269218220	116548898	GCF_000295935.2	GCF_018500185.1	68.011599	4278	3648	2220	0.560182	0.400000	0.500000
269218220	699950239	GCF_000295935.2	GCF_019343195.1	84.536177	4278	4520	3440	0.781996	0.400000	0.500000
269218220	1005046760	GCF_000295935.2	GCF_900176595.1	73.923832	4278	5087	2826	0.603524	0.400000	0.500000
348819771	664954531	GCF_000298295.1	GCF_000222485.1	65.629717	4414	5007	2088	0.443265	0.400000	0.500000
348819771	819740123	GCF_000298295.1	GCF_000265075.1	68.241231	4414	3993	1933	0.459855	0.400000	0.500000
348819771	823225670	GCF_000298295.1	GCF_000265405.1	72.873913	4414	3784	2369	0.577946	0.400000	0.500000
