ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
21556744	21556744	GCA_000007325.1	GCA_000007325.1	100.000000	2042	2042	2028	0.993144	0.400000	0.500000
21556744	1048151106	GCA_000007325.1	GCA_004365575.1	57.951262	2042	2068	634	0.308516	0.400000	0.500000
21556744	155080680	GCA_000007325.1	GCF_000165505.1	59.135714	2042	2981	798	0.317738	0.400000	0.500000
21556744	789367391	GCA_000007325.1	GCF_000426625.1	57.596957	2042	3361	838	0.310198	0.400000	0.500000
21556744	143342085	GCA_000007325.1	GCF_900167275.1	60.833988	2042	2552	865	0.376578	0.400000	0.500000
1048151106	21556744	GCA_004365575.1	GCA_000007325.1	57.951262	2068	2042	634	0.308516	0.400000	0.500000
1048151106	1048151106	GCA_004365575.1	GCA_004365575.1	100.000000	2068	2068	2068	1.000000	0.400000	0.500000
1048151106	155080680	GCA_004365575.1	GCF_000165505.1	60.929630	2068	2981	999	0.395722	0.400000	0.500000
1048151106	789367391	GCA_004365575.1	GCF_000426625.1	59.623673	2068	3361	980	0.361024	0.400000	0.500000
1048151106	143342085	GCA_004365575.1	GCF_900167275.1	59.330827	2068	2552	798	0.345455	0.400000	0.500000
155080680	21556744	GCF_000165505.1	GCA_000007325.1	59.135714	2981	2042	798	0.317738	0.400000	0.500000
155080680	1048151106	GCF_000165505.1	GCA_004365575.1	60.929630	2981	2068	999	0.395722	0.400000	0.500000
155080680	155080680	GCF_000165505.1	GCF_000165505.1	100.000000	2981	2981	2950	0.989601	0.400000	0.500000
155080680	789367391	GCF_000165505.1	GCF_000426625.1	62.169202	2981	3361	1479	0.466414	0.400000	0.500000
155080680	143342085	GCF_000165505.1	GCF_900167275.1	62.006430	2981	2552	1112	0.401952	0.400000	0.500000
789367391	21556744	GCF_000426625.1	GCA_000007325.1	57.596957	3361	2042	838	0.310198	0.400000	0.500000
789367391	1048151106	GCF_000426625.1	GCA_004365575.1	59.623673	3361	2068	980	0.361024	0.400000	0.500000
789367391	155080680	GCF_000426625.1	GCF_000165505.1	62.169202	3361	2981	1479	0.466414	0.400000	0.500000
789367391	789367391	GCF_000426625.1	GCF_000426625.1	100.000000	3361	3361	3346	0.995537	0.400000	0.500000
789367391	143342085	GCF_000426625.1	GCF_900167275.1	59.986056	3361	2552	1151	0.389312	0.400000	0.500000
143342085	21556744	GCF_900167275.1	GCA_000007325.1	60.833988	2552	2042	865	0.376578	0.400000	0.500000
143342085	1048151106	GCF_900167275.1	GCA_004365575.1	59.330827	2552	2068	798	0.345455	0.400000	0.500000
143342085	155080680	GCF_900167275.1	GCF_000165505.1	62.006430	2552	2981	1112	0.401952	0.400000	0.500000
143342085	789367391	GCF_900167275.1	GCF_000426625.1	59.986056	2552	3361	1151	0.389312	0.400000	0.500000
143342085	143342085	GCF_900167275.1	GCF_900167275.1	100.000000	2552	2552	2549	0.998824	0.400000	0.500000
