POCP	GCF_900106925.1.faa	GCF_016653295.1.faa	GCF_016583825.1.faa	GCF_016583795.1.faa	GCF_016583745.1.faa	GCF_016583575.1.faa	GCF_014145225.1.faa	GCF_010820565.1.faa	GCF_009664085.1.faa	GCF_004343155.1.faa	GCF_004342175.1.faa	GCF_000585215.1.faa	GCF_000327045.1.faa
GCF_900106925.1.faa	100	~	~	~	~	~	~	~	~	~	~	~	~
GCF_016653295.1.faa	52.6278742374472	100	~	~	~	~	~	~	~	~	~	~	~
GCF_016583825.1.faa	54.05564263322884	60.10697570759973	100	~	~	~	~	~	~	~	~	~	~
GCF_016583795.1.faa	48.52091125467528	57.02991171432337	47.42801682303462	100	~	~	~	~	~	~	~	~	~
GCF_016583745.1.faa	44.87917146144994	48.41354182480644	40.34578648289203	50.0	100	~	~	~	~	~	~	~	~
GCF_016583575.1.faa	59.13945368658862	51.21119473189088	48.44915586965057	51.902760422583206	53.1342135623638	100	~	~	~	~	~	~	~
GCF_014145225.1.faa	41.6463649185793	47.75323686214775	39.75027276033459	51.32575757575758	62.23132036847492	46.04704974932511	100	~	~	~	~	~	~
GCF_010820565.1.faa	58.273656067984334	51.99696936897933	51.88135127712167	51.782344306982594	46.57919400187441	64.79479575241558	41.29668780831571	100	~	~	~	~	~
GCF_009664085.1.faa	52.66790549508893	56.96825396825397	46.50551102204409	56.81163812698894	62.90870108986957	60.89965397923876	57.470852017937226	54.903624681779604	100	~	~	~	~
GCF_004343155.1.faa	56.22489959839358	56.99556064728627	49.79808468905042	56.948640483383684	56.8312101910828	59.26558497011102	51.50207734100351	56.72861621137483	66.77790755881861	100	~	~	~
GCF_004342175.1.faa	55.252918287937746	51.980129708845034	46.38898219684246	53.47203816591571	58.221271393643036	63.77496749793169	52.054584483287336	56.589821661592	66.58142879974429	63.32853025936599	100	~	~
GCF_000585215.1.faa	56.348593491450636	55.13982888519985	50.162900683131895	57.650676506765066	53.633557800224466	64.11276948590381	48.39572192513369	64.69325153374234	64.66890805437802	66.28123338649654	65.98613251155624	100	~
GCF_000327045.1.faa	52.73869054541226	54.05295315682282	50.756989722621284	52.38778705636743	48.108676073251274	52.267164005128805	45.43674698795181	53.13506549280653	56.32941176470588	57.60838764522528	54.588910133843214	57.753604857070584	100
