POCP	GCF_020687805.1.faa	GCF_019900845.1.faa	GCF_014270035.1.faa	GCF_013328345.1.faa	GCF_003286125.1.faa	GCF_003143555.1.faa	GCF_003063625.1.faa	GCF_002591895.1.faa	GCF_000429145.1.faa	GCF_000315015.1.faa	GCF_000314975.1.faa	GCF_000281085.1.faa	GCF_000252165.1.faa	GCF_000172635.2.faa
GCF_020687805.1.faa	100	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_019900845.1.faa	52.559565935362116	100	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014270035.1.faa	50.4973037747154	48.034478255191324	100	~	~	~	~	~	~	~	~	~	~	~
GCF_013328345.1.faa	38.62958099558315	38.613603849655355	40.90788777130757	100	~	~	~	~	~	~	~	~	~	~
GCF_003286125.1.faa	38.958380714123265	36.25709351097952	39.8595258999122	50.08119925046846	100	~	~	~	~	~	~	~	~	~
GCF_003143555.1.faa	50.16598061346434	51.87783136051439	55.871833084947845	42.98427766241472	39.53066070680263	100	~	~	~	~	~	~	~	~
GCF_003063625.1.faa	38.61089537334961	36.38438438438438	38.5498046875	50.18239299610895	66.87883346834857	38.655462184873954	100	~	~	~	~	~	~	~
GCF_002591895.1.faa	49.52673923331756	49.92272024729521	56.75534006028043	39.958240897820694	38.056930693069305	64.91125128355581	37.87203277503314	100	~	~	~	~	~	~
GCF_000429145.1.faa	52.32921193955289	52.39786856127886	54.133036459782915	41.784427819340536	38.84741322855272	57.893910860012554	38.133435192258716	56.19086795557384	100	~	~	~	~	~
GCF_000315015.1.faa	48.8403062923094	46.78601465817614	52.759462759462764	38.37265872050596	40.24771385577034	50.745661605206074	38.39467148340483	52.573219235868386	53.56597045338767	100	~	~	~	~
GCF_000314975.1.faa	51.194655191937485	47.353555200785955	53.52059925093633	38.42327779159413	39.60278992788746	51.598110061145086	39.075823922562805	53.566588641123566	57.11678832116789	59.601198709082524	100	~	~	~
GCF_000281085.1.faa	37.47986191024166	36.05348662834291	40.195704663870885	45.79167194026073	56.960807886511176	40.86463501063076	56.214126742415374	39.70661985957874	38.36143938387996	39.46104276508494	40.2393776181927	100	~	~
GCF_000252165.1.faa	42.04126246755021	42.66324837882672	44.367497691597414	36.26339969372129	34.17302432704765	50.475017593244196	33.22634663689645	47.04012112036336	51.81818181818182	48.10161920714685	47.723367697594504	34.26859564518486	100	~
GCF_000172635.2.faa	50.41535041535041	47.423336302328536	53.067564069376125	40.500128899200824	38.38532110091743	53.385416666666664	38.24160114367405	51.90859185497255	57.3632918245804	57.75738798856054	55.69897710667316	39.12774129599802	50.70149253731343	100
