ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
7525858	7525858	GCF_000160075.2	GCF_000160075.2	100.000000	1876	1876	1868	0.995736	0.400000	0.500000
7525858	729623748	GCF_000160075.2	GCF_000301035.1	60.011538	1876	1755	767	0.422473	0.400000	0.500000
7525858	729564166	GCF_000160075.2	GCF_000301055.1	59.954856	1876	1679	731	0.411252	0.400000	0.500000
7525858	848591899	GCF_000160075.2	GCF_000428865.1	61.312202	1876	1913	840	0.443389	0.400000	0.500000
7525858	449304967	GCF_000160075.2	GCF_000518205.1	60.519906	1876	2007	849	0.437291	0.400000	0.500000
7525858	810897638	GCF_000160075.2	GCF_001543285.1	56.738456	1876	2082	667	0.337039	0.400000	0.500000
7525858	48006683	GCF_000160075.2	GCF_001552295.1	63.738730	1876	2181	945	0.465861	0.400000	0.500000
7525858	39470271	GCF_000160075.2	GCF_003546865.1	60.717849	1876	2471	846	0.389234	0.400000	0.500000
7525858	417351198	GCF_000160075.2	GCF_009659375.1	63.200955	1876	2826	995	0.423224	0.400000	0.500000
7525858	14447414	GCF_000160075.2	GCF_900100125.1	60.915389	1876	1798	809	0.440392	0.400000	0.500000
7525858	877822827	GCF_000160075.2	GCF_900110675.1	61.244465	1876	1921	804	0.423492	0.400000	0.500000
729623748	7525858	GCF_000301035.1	GCF_000160075.2	60.011538	1755	1876	767	0.422473	0.400000	0.500000
729623748	729623748	GCF_000301035.1	GCF_000301035.1	100.000000	1755	1755	1749	0.996581	0.400000	0.500000
729623748	729564166	GCF_000301035.1	GCF_000301055.1	62.332890	1755	1679	903	0.525917	0.400000	0.500000
729623748	848591899	GCF_000301035.1	GCF_000428865.1	60.371034	1755	1913	832	0.453653	0.400000	0.500000
729623748	449304967	GCF_000301035.1	GCF_000518205.1	60.838153	1755	2007	861	0.457735	0.400000	0.500000
729623748	810897638	GCF_000301035.1	GCF_001543285.1	56.364961	1755	2082	635	0.330988	0.400000	0.500000
729623748	48006683	GCF_000301035.1	GCF_001552295.1	62.164319	1755	2181	859	0.436484	0.400000	0.500000
729623748	39470271	GCF_000301035.1	GCF_003546865.1	60.198284	1755	2471	874	0.413630	0.400000	0.500000
729623748	417351198	GCF_000301035.1	GCF_009659375.1	61.249945	1755	2826	904	0.394674	0.400000	0.500000
729623748	14447414	GCF_000301035.1	GCF_900100125.1	59.370499	1755	1798	761	0.428370	0.400000	0.500000
729623748	877822827	GCF_000301035.1	GCF_900110675.1	60.524042	1755	1921	861	0.468444	0.400000	0.500000
729564166	7525858	GCF_000301055.1	GCF_000160075.2	59.954856	1679	1876	731	0.411252	0.400000	0.500000
729564166	729623748	GCF_000301055.1	GCF_000301035.1	62.332890	1679	1755	903	0.525917	0.400000	0.500000
729564166	729564166	GCF_000301055.1	GCF_000301055.1	100.000000	1679	1679	1643	0.978559	0.400000	0.500000
729564166	848591899	GCF_000301055.1	GCF_000428865.1	60.757152	1679	1913	797	0.443764	0.400000	0.500000
729564166	449304967	GCF_000301055.1	GCF_000518205.1	62.105984	1679	2007	869	0.471514	0.400000	0.500000
729564166	810897638	GCF_000301055.1	GCF_001543285.1	56.956919	1679	2082	607	0.322786	0.400000	0.500000
729564166	48006683	GCF_000301055.1	GCF_001552295.1	62.378680	1679	2181	856	0.443523	0.400000	0.500000
729564166	39470271	GCF_000301055.1	GCF_003546865.1	61.202830	1679	2471	848	0.408675	0.400000	0.500000
729564166	417351198	GCF_000301055.1	GCF_009659375.1	61.429623	1679	2826	903	0.400888	0.400000	0.500000
729564166	14447414	GCF_000301055.1	GCF_900100125.1	60.470260	1679	1798	770	0.442911	0.400000	0.500000
729564166	877822827	GCF_000301055.1	GCF_900110675.1	60.548128	1679	1921	828	0.460000	0.400000	0.500000
848591899	7525858	GCF_000428865.1	GCF_000160075.2	61.312202	1913	1876	840	0.443389	0.400000	0.500000
