POCP	GCF_900302505.1.faa	GCF_900302495.1.faa	GCF_900302485.1.faa	GCF_900302465.1.faa	GCF_900231835.1.faa	GCF_900184945.1.faa	GCF_900184895.1.faa	GCF_900184815.1.faa	GCF_900172375.1.faa	GCF_900172275.1.faa	GCF_900142295.1.faa	GCF_900129685.1.faa	GCF_900110025.1.faa	GCF_900109295.1.faa	GCF_900109035.1.faa	GCF_900108275.1.faa	GCF_900107585.1.faa	GCF_900106695.1.faa	GCF_900102905.1.faa	GCF_900100045.1.faa	GCF_023541015.1.faa	GCF_022899245.1.faa	GCF_019623905.1.faa	GCF_019297855.1.faa	GCF_019264375.1.faa	GCF_018457175.1.faa	GCF_016918935.1.faa	GCF_016765795.1.faa	GCF_016765775.1.faa	GCF_016653255.1.faa	GCF_016623495.1.faa	GCF_014681765.1.faa	GCF_014235845.1.faa	GCF_014199445.1.faa	GCF_013415485.1.faa	GCF_013155465.1.faa	GCF_013093415.1.faa	GCF_011326755.1.faa	GCF_011044155.1.faa	GCF_009908165.1.faa	GCF_009833495.1.faa	GCF_009830125.1.faa	GCF_009380135.2.faa	GCF_008369105.1.faa	GCF_008124525.1.faa	GCF_007855645.1.faa	GCF_005938225.1.faa	GCF_005887635.2.faa	GCF_004803475.1.faa	GCF_004348975.1.faa	GCF_004010155.1.faa	GCF_004006175.1.faa	GCF_004000435.1.faa	GCF_003688285.1.faa	GCF_003646465.1.faa	GCF_003544895.1.faa	GCF_003385555.1.faa	GCF_003290025.1.faa	GCF_003254295.1.faa	GCF_003217255.1.faa	GCF_003205515.1.faa	GCF_003172915.1.faa	GCF_003148765.1.faa	GCF_003116585.1.faa	GCF_003075525.1.faa	GCF_003072065.1.faa	GCF_003056725.1.faa	GCF_003054175.1.faa	GCF_003034995.1.faa	GCF_003034985.1.faa	GCF_003034965.1.faa	GCF_003008555.2.faa	GCF_002927635.1.faa	GCF_002900975.1.faa	GCF_002871005.1.faa	GCF_002797755.1.faa	GCF_002760615.1.faa	GCF_002751875.1.faa	GCF_002504165.1.faa	GCF_002358085.1.faa	GCF_002210095.1.faa	GCF_001890925.1.faa	GCF_001879715.1.faa	GCF_001870675.1.faa	GCF_001633165.1.faa	GCF_001294535.1.faa	GCF_001262635.1.faa	GCF_001205715.1.faa	GCF_000812685.1.faa	GCF_000768315.1.faa	GCF_000740785.1.faa	GCF_000740775.1.faa	GCF_000738435.1.faa	GCF_000714535.1.faa	GCF_000600975.2.faa	GCF_000473225.1.faa	GCF_000473205.1.faa	GCF_000429365.1.faa	GCF_000420745.1.faa	GCF_000382265.1.faa	GCA_005473895.2.faa
GCF_900302505.1.faa	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900302495.1.faa	49.579718004338396	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900302485.1.faa	58.64746576309473	53.76727596968346	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900302465.1.faa	56.34729781040375	53.59745594275871	59.19492693686242	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900231835.1.faa	51.07787658313123	67.65704584040748	52.61992619926199	52.12695904122218	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900184945.1.faa	58.52898631356403	49.02119772964207	55.4916067146283	56.24590521948024	47.701348081576214	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900184895.1.faa	57.03808847882659	49.60493827160494	54.1821442295376	53.495652173913044	48.62509206972747	55.65853156214602	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900184815.1.faa	52.25122966326145	51.300330033003306	58.14336720681131	52.827160493827165	49.06180291300355	53.77748748094927	52.975846527216	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900172375.1.faa	58.104357479877876	48.482194979568014	55.511510901051984	49.92544394740409	49.362133951870106	48.37528063334515	52.10592686002522	49.182984469952736	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900172275.1.faa	55.86159169550173	57.22602241304031	61.64487686226817	62.89886425094646	54.27208327309528	53.73732610233436	60.96364322556297	55.96713362068966	55.2604088941949	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900142295.1.faa	59.881072874493924	50.450331125827816	58.178310596665284	56.6687306501548	51.48762506582412	56.172906887894335	55.66759388038943	53.856596322349745	55.921409214092144	57.89971617786187	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900129685.1.faa	56.445749440715886	52.50073551044425	58.585703305149885	56.192817151440664	51.811805961426074	51.86110120109406	52.47587607922804	53.652564276969116	53.87748943874472	58.22175417481571	56.838656838656846	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
