POCP	GCF_900113665.1.faa	GCF_011634775.1.faa	GCF_008298035.1.faa	GCF_007859735.1.faa	GCF_007750395.1.faa	GCF_007747995.1.faa	GCF_007747795.1.faa	GCF_007745435.1.faa	GCF_007745175.1.faa	GCF_007743815.1.faa	GCF_001983935.1.faa	GCF_000255655.1.faa	GCF_000165715.2.faa	GCF_000092105.1.faa
GCF_900113665.1.faa	100	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_011634775.1.faa	39.029829941455255	100	~	~	~	~	~	~	~	~	~	~	~	~
GCF_008298035.1.faa	38.80907201590313	44.801641586867305	100	~	~	~	~	~	~	~	~	~	~	~
GCF_007859735.1.faa	45.550867323019226	41.92491588454047	39.42241379310345	100	~	~	~	~	~	~	~	~	~	~
GCF_007750395.1.faa	36.5848628583213	42.24847487169556	44.6440327282987	37.49389111523801	100	~	~	~	~	~	~	~	~	~
GCF_007747995.1.faa	35.915931961884404	41.80300219261258	43.42321604735284	38.68389729637817	43.98332561371005	100	~	~	~	~	~	~	~	~
GCF_007747795.1.faa	45.96774193548387	48.548652629754784	46.467460116485185	49.812145041502845	41.830502004199275	44.44166874843867	100	~	~	~	~	~	~	~
GCF_007745435.1.faa	37.883304940374785	41.482885939526994	41.202672605790646	36.76574307304786	38.93726278187095	35.92334826961579	40.66063704286276	100	~	~	~	~	~	~
GCF_007745175.1.faa	46.55725334842483	40.931350725670015	39.802374967495886	42.55949708127526	36.919748229740364	38.08017779297376	47.58390441047268	36.08801460150071	100	~	~	~	~	~
GCF_007743815.1.faa	33.545986177565126	39.86446083316723	34.02321083172147	33.477560877440126	35.090848288931	32.450961721576846	37.64359351988218	42.38892094633584	34.31898734177215	100	~	~	~	~
GCF_001983935.1.faa	33.23100537221796	39.47070249271609	38.98278313062708	36.97389885807504	36.225980696006374	36.548658764815976	41.552730470936275	32.23809957222172	36.107239485119294	30.581818181818182	100	~	~	~
GCF_000255655.1.faa	37.93132328308207	36.45476967141379	37.033009708737865	32.43004890563617	34.59933947505649	37.72340262330291	38.60062893081761	31.223214285714285	38.70265914585012	28.181574957638457	32.234946435168084	100	~	~
GCF_000165715.2.faa	39.90529921418497	42.77593557555661	41.99429150170334	40.959938808681514	39.317319848293295	36.5599201669237	45.08686717728377	44.175919878075334	39.332435552135436	37.58017175779976	34.65844978734485	33.032214078745525	100	~
GCF_000092105.1.faa	39.83322642719692	37.83431834118001	37.16590533579551	34.76281986446849	36.289237668161434	33.929767486364945	38.72113676731794	37.97306710006965	38.79275244299674	34.102237162397124	29.847474655219653	38.70274144418563	39.70266724967206	100
