ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
359665958	359665958	GCF_002201515.1	GCF_002201515.1	100.000000	2742	2742	2656	0.968636	0.400000	0.500000
359665958	922289940	GCF_002201515.1	GCF_003024805.1	67.980007	2742	2817	1408	0.506566	0.400000	0.500000
359665958	921306837	GCF_002201515.1	GCF_003024925.1	66.750642	2742	2763	1325	0.481381	0.400000	0.500000
359665958	1038210827	GCF_002201515.1	GCF_009676955.1	60.445265	2742	2735	1056	0.385613	0.400000	0.500000
922289940	359665958	GCF_003024805.1	GCF_002201515.1	67.980007	2817	2742	1408	0.506566	0.400000	0.500000
922289940	922289940	GCF_003024805.1	GCF_003024805.1	100.000000	2817	2817	2806	0.996095	0.400000	0.500000
922289940	921306837	GCF_003024805.1	GCF_003024925.1	67.334036	2817	2763	1375	0.492832	0.400000	0.500000
922289940	1038210827	GCF_003024805.1	GCF_009676955.1	60.227954	2817	2735	1007	0.362752	0.400000	0.500000
921306837	359665958	GCF_003024925.1	GCF_002201515.1	66.750642	2763	2742	1325	0.481381	0.400000	0.500000
921306837	922289940	GCF_003024925.1	GCF_003024805.1	67.334036	2763	2817	1375	0.492832	0.400000	0.500000
921306837	921306837	GCF_003024925.1	GCF_003024925.1	100.000000	2763	2763	2757	0.997828	0.400000	0.500000
921306837	1038210827	GCF_003024925.1	GCF_009676955.1	60.050876	2763	2735	970	0.352856	0.400000	0.500000
1038210827	359665958	GCF_009676955.1	GCF_002201515.1	60.445265	2735	2742	1056	0.385613	0.400000	0.500000
1038210827	922289940	GCF_009676955.1	GCF_003024805.1	60.227954	2735	2817	1007	0.362752	0.400000	0.500000
1038210827	921306837	GCF_009676955.1	GCF_003024925.1	60.050876	2735	2763	970	0.352856	0.400000	0.500000
1038210827	1038210827	GCF_009676955.1	GCF_009676955.1	100.000000	2735	2735	2709	0.990494	0.400000	0.500000
