ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
898620387	898620387	GCF_000600005.1	GCF_000600005.1	100.000000	2227	2227	2221	0.997306	0.400000	0.500000
898620387	250039418	GCF_000600005.1	GCF_000745895.1	69.465423	2227	2465	1193	0.508525	0.400000	0.500000
898620387	893559493	GCF_000600005.1	GCF_002951835.1	65.203582	2227	2456	1005	0.429212	0.400000	0.500000
898620387	853152514	GCF_000600005.1	GCF_003315235.1	66.467602	2227	2120	1034	0.475730	0.400000	0.500000
898620387	266457846	GCF_000600005.1	GCF_014054525.1	65.060355	2227	2304	1014	0.447583	0.400000	0.500000
898620387	264610804	GCF_000600005.1	GCF_014054725.1	65.078214	2227	2093	1019	0.471759	0.400000	0.500000
898620387	349300540	GCF_000600005.1	GCF_016894345.1	70.199451	2227	2809	1276	0.506751	0.400000	0.500000
898620387	210370369	GCF_000600005.1	GCF_022354465.1	65.386627	2227	2201	1002	0.452575	0.400000	0.500000
898620387	908209647	GCF_000600005.1	GCF_900111845.1	65.226056	2227	1989	1042	0.494307	0.400000	0.500000
898620387	230266259	GCF_000600005.1	GCF_900187105.1	65.683164	2227	2117	1081	0.497698	0.400000	0.500000
250039418	898620387	GCF_000745895.1	GCF_000600005.1	69.465423	2465	2227	1193	0.508525	0.400000	0.500000
250039418	250039418	GCF_000745895.1	GCF_000745895.1	100.000000	2465	2465	2447	0.992698	0.400000	0.500000
250039418	893559493	GCF_000745895.1	GCF_002951835.1	65.454127	2465	2456	1054	0.428368	0.400000	0.500000
250039418	853152514	GCF_000745895.1	GCF_003315235.1	67.186926	2465	2120	1067	0.465431	0.400000	0.500000
250039418	266457846	GCF_000745895.1	GCF_014054525.1	65.697623	2465	2304	1073	0.449990	0.400000	0.500000
250039418	264610804	GCF_000745895.1	GCF_014054725.1	65.645059	2465	2093	1093	0.479596	0.400000	0.500000
250039418	349300540	GCF_000745895.1	GCF_016894345.1	72.242779	2465	2809	1371	0.519909	0.400000	0.500000
250039418	210370369	GCF_000745895.1	GCF_022354465.1	65.475330	2465	2201	1060	0.454351	0.400000	0.500000
250039418	908209647	GCF_000745895.1	GCF_900111845.1	65.768924	2465	1989	1078	0.484059	0.400000	0.500000
250039418	230266259	GCF_000745895.1	GCF_900187105.1	66.439845	2465	2117	1098	0.479267	0.400000	0.500000
